nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
nh valencia las ciencias,españa,,2,persona que viaja sola,repetiré si vuelvo a valencia,"ubicación, limpieza, desayuno muy completo",,9.0,2026-04-14,bien
nh valencia las ciencias,españa,,1,persona que viaja sola,no está mal para una visita rápida,la ubicación y el precio,me tocó la habitación 116 y hubo mucho ruido. las paredes y las puertas son muy finas,8.0,2026-04-06,bien
nh valencia las ciencias,españa,,3,pareja,fantástico,la cama muy cómoda y la situación del hotel es perfecta.,,9.0,2026-04-06,bien
nh valencia las ciencias,españa,,2,pareja,fantástico,buena ubicación y habitaciones,,9.0,2026-04-04,bien
nh valencia las ciencias,españa,,3,familia,para repetir,el personal súper amable y profesional. felicitaciones al chef y camareros as por la comida tan deliciosa. felicitaciones al personal de limpieza por su amabilidad y también a recepción por su calidez.,bastante ruido se escuchaba de la calle,8.0,2026-04-03,bien
nh valencia las ciencias,españa,,2,pareja,muy bien,la ubicación,la ducha y el calor de la habitación,8.0,2026-04-01,bien
nh valencia las ciencias,españa,,2,grupo,muy bien,cama cómoda y desayuno bueno,un poco alejado del centro,8.0,2026-03-19,bien
nh valencia las ciencias,españa,,4,pareja,para descansar está bien.,la cama es cómoda y quiero recalcar el papel de la limpiadora.,"los baños necesitan una reforma urgente. además, son un poco estrechos y la mampara necesita también un cambio, ya que se filtraba el agua por debajo. el minibar hacía ruidos raros que por la noche son algo molestos.",7.0,2026-03-17,bien
nh valencia las ciencias,españa,,2,pareja,fantástico,el hotel está ubicado en una zona desde la que puedes conocer la ciudad fácilmente. el personal muy amable. hemos estado muy agusto. ya habíamos estado antes. volveremos: ,,9.0,2026-03-16,bien
nh valencia las ciencias,españa,,2,pareja,fantástico,ubicación,,9.0,2026-03-10,bien
nh valencia las ciencias,italia,,1,pareja,bien,cercano al museo de la ciencia y acuarios desayuno,aunque lo he pedido en la reserva una matrimonial.. es él primer hotel que no se han dado dos cama separadas.. con lo que pagué para una matrimonial.. y no dos separada..,7.0,2026-03-07,bien
nh valencia las ciencias,españa,,2,pareja,desayuno riquísimo y completo,todo perfecto,"armario excesivamente pequeño, aún habiendo sitio para extenderlo más. me dieron una habitación de las comunicadas, y la parte de la puerta que comunica con la otra habitación hacia que se oyera el ruido de al lado",9.0,2026-03-03,bien
