nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
only you hotel valencia,república dominicana,,2,pareja,excelente hotel,"el excelente servicio al cliente, las instalaciones, el restauratn svj, las atenciones, el bar, la habitación, todo top al 100 ",,10.0,2026-04-13,fantástico
only you hotel valencia,españa,,1,grupo,fantástico,"desayuno, lo mejor de todo",en general me pareció todo bien,9.0,2026-04-06,fantástico
only you hotel valencia,españa,,1,pareja,excepcional,todo perfecto,,10.0,2026-03-24,fantástico
only you hotel valencia,argentina,,1,pareja,"todo impecable, muy bien ubicado, el personal excelente","lo mejor el lugar, el personal y el desayuno!!",,10.0,2026-03-23,fantástico
only you hotel valencia,españa,,1,pareja,maravilloso,este lugar es perfecto y el desayuno es top,,10.0,2026-03-23,fantástico
only you hotel valencia,puerto rico,,5,pareja,excepcional,"hermoso, céntrico",,10.0,2026-03-22,fantástico
only you hotel valencia,españa,,1,familia,excepcional,la ubicación es inmejorable y el desayuno.,,10.0,2026-03-16,fantástico
only you hotel valencia,españa,,2,pareja,manos formando un corazón,"pille el hotel casi sin mirar, y me sorprendió a bien! personal super amable, todo muy cómodo, bonito y limpio. pero lo que más me tocó el corazón fue la chica de servicio de habitaciones de la sexta planta, tatiana. fuera de qué la habitación estaba pulidisima y hecha con un gusto y cariño que se notaba mucho, resultó que ella es de la ciudad de donde vengo yo de rusia y cuando se enteraron nos trajeron una nota hecha por ella en ruso con una foto de mi ciudad  una botella de cava. la verdad que me tocó mucho el alma y esto hará que si vuelvo por valencia seguramente decidiré ir al mismo hotel. muchas gracias manos formando un corazón",,10.0,2026-03-15,fantástico
only you hotel valencia,españa,,1,persona que viaja sola,excepcional,un ambiente muy acogedor y un personal muy implicado,todo me pareció correcto,10.0,2026-03-04,fantástico
only you hotel valencia,españa,,1,pareja,su ubicacionj.,"el desayuno perfecto, la ubicacion muy buena.",que el parking no esta en el hotel.,10.0,2026-03-01,fantástico
only you hotel valencia,panamá,,2,persona que viaja sola,una cadena de hotel maravillosa que te hace sentir valorado!,only you hotels tiene un servicio al cliente excepcional. el hotel de valencia tiene una ubicación muy conveniente cerca de todo. el hotel tiene ahi mismo varios restaurantes y bueno se disfruta de la comodidad y el buen servicio.,todo estaba super bien.,10.0,2026-02-25,fantástico
only you hotel valencia,españa,,1,familia,excepcional,"muy buena atención por parte de todo el personal. habitación moderna, cómoda y silenciosa. desayuno variado y abundante",había posibilidad de pedir cafés de especialidad. la toma de comandas es un poco caótica y tuvimos que volver a pedirlo...,10.0,2026-02-25,fantástico
only you hotel valencia,españa,,1,familia,buen hotel en un sitio excelente,el desayuno y la comodidad de la cama,es lamentable que un hotel así no tenga parking propio o quien se encargue de llevarte y traerte el coche,8.0,2026-02-20,fantástico
only you hotel valencia,españa,habitación doble premium - 2 camas,3,familia,para volver,"el personal , el desayuno y la ubicación",al ser san valentín la dificultad para reservar mesa en los restaurantes .,9.0,2026-02-18,fantástico
only you hotel valencia,uruguay,habitación doble premium - 2 camas,1,pareja,estancia fantástica.,"la infraestructura espectacular, el personal muy cálido y atento, el desayuno fantástico, la ubicación.",todo estuvo perfecto.,10.0,2026-02-16,fantástico
only you hotel valencia,reino unido,,3,familia,"hotel céntrico, buen desayuno",ubicación y desayuno completo y de calidad,"mucha aglomeración de gente en el hall, ya que se acumulan clientes del hotel y visitantes que van a tonar copas.",9.0,2026-02-12,fantástico
only you hotel valencia,españa,,2,pareja,"maravillosa,volveríamos mil veces","la comodidad,el trato del personal y la ubicación",,10.0,2026-02-08,fantástico
only you hotel valencia,hungría,,1,familia,muy bien,,el hall no tiene sitio para tener una reunion de trabajo,8.0,2026-02-08,fantástico
only you hotel valencia,españa,,1,pareja,excepcional,"zona céntrica y tranquila. desayuno estupendo, con gran variedad. el café una delicia.",,10.0,2026-02-05,fantástico
only you hotel valencia,méxico,,2,familia,excepcional,ubicación,,10.0,2026-02-05,fantástico
only you hotel valencia,españa,,1,pareja,fantástico,"pues se respira lujo desde que entras al hotel todo está limpio tienen una zona para tomar cócteles increíbles, zona también para fiesta. la clase de los camareros y la gente que trabaja allí realmente recomendable..","en principio, todo está bien",9.0,2026-01-27,fantástico
only you hotel valencia,españa,,1,persona que viaja sola,conciertazo,su hubicacion y su confort.,"me gusto todo, pero el servicio de bar creo que es mejorable",9.0,2026-01-26,fantástico
only you hotel valencia,españa,,1,pareja,excelente hotel,"la habitación muy espaciosa, cama muy cómoda, bonita decoración, baño y ducha moderno, el desayuno muy completo. la decoración del hotel con mucho estilo. ubicación excelente. el personal muy atento",,10.0,2026-01-26,fantástico
only you hotel valencia,españa,,2,persona que viaja sola,lujo asequible en valencia,"recepción, habitación y servicio impecables.",,10.0,2026-01-23,fantástico
only you hotel valencia,españa,,1,familia,excepcional,"atención de todo el personal, extraordinario, restaurante mirador en comida y desayuno",,10.0,2026-01-22,fantástico
only you hotel valencia,españa,,1,pareja,todo perfecto.,ubicacion excelente y atencion inmejorable.,,9.0,2026-01-18,fantástico
only you hotel valencia,argentina,,1,pareja,excepcional,"el staff del hotel es muy agradable, al llegar al hotel nos ofrecieron un trago de bienvenuda. todo el hotel es hermoso, comodo y limpio. el desayuno es increible, muy completo todo. y la ubicacion es perfecta, todo esta cerca para caminar. solo pasamos una noche pero de ser posible nos quedabamos unos dias mas.",todo estuvo perfecto,10.0,2026-01-17,fantástico
only you hotel valencia,españa,,2,pareja,para repetir sin duda,"todo estuvo muy bien , el lugar, el personal , la comida , todo de 10",,10.0,2026-01-16,fantástico
only you hotel valencia,chile,,9,pareja,como estar en familia,"solemos viajar a valencia seguido a visitar a la familia. y desde que nos quedamos la primera vez en el only you hemos repetido siempre. mas allá de las instalaciones y la ubicación que son inmejorables, o del mejor desayuno de hotel que hemos comido nunca, lo que hace diferente al hotel es la gente que trabaja ahí, siempre haciéndonos sentir como en casa, con mucha amabilidad y estando presentes, no es como en otros hoteles donde el personal trata de ser invisible, aquí llenan el espacio con alegría y hacen que la estancia sea siempre memorable. seguiremos repitiendo seguro.",,10.0,2026-01-12,fantástico
only you hotel valencia,españa,,2,pareja,fantástico,la verdad que todo me gustó muchísimo y el personal muyyy agradable.,,9.0,2026-01-11,fantástico
only you hotel valencia,españa,,5,familia,excepcional,desayuno obligatorio con vistas excepcionales,,10.0,2026-01-09,fantástico
only you hotel valencia,noruega,,1,pareja,exelente,"ubicación exelente, personal amable",,10.0,2026-01-08,fantástico
only you hotel valencia,españa,,1,familia,excepcional,hotel céntrico y con mucho rollo. muy recomendable,,10.0,2025-12-29,fantástico
only you hotel valencia,chile,,6,pareja,agradable ambiente y el mejor desayuno,"el personal es muy agradable, el desayuno el mejor que he comido en un hotel. la ubicación es excelente al igual que la calidad de las habitaciones.",,10.0,2025-12-27,fantástico
only you hotel valencia,españa,,2,pareja,para repetir!,inmejorable. ubicación e instalaciones estupendas. a destacar el trato recibido desde el primer minuto por el personal del hotel. josé enrique no pudo ser más atento y cariñoso. un hotel de referencia en valencia que cubre con creces las expectativas. para repetir.,nada que decir.,10.0,2025-12-22,fantástico
only you hotel valencia,españa,habitación doble premium - 2 camas,1,familia,excepcional,la ubicacion fantástica,ruido nocturno,10.0,2025-12-20,fantástico
only you hotel valencia,españa,,2,pareja,gran opción para valencia,excelente ubicación,demasiado movimiento en la recepción,10.0,2025-12-20,fantástico
only you hotel valencia,españa,,4,pareja,excepcional,la situación la limpieza el personal súper atento,,10.0,2025-12-16,fantástico
only you hotel valencia,perú,,3,pareja,excelente estadía en el hotel,"me gustó mucho el hotel en general, la habitación era muy amplia, las camas eran cómodas, el personal era muy amable, el desayuno fue delicioso y todo fue espectacular",creo que podrían mejorar un poco los equipamientos en el gimnasio,10.0,2025-12-14,fantástico
only you hotel valencia,españa,,2,grupo,volvere,lo reserve para una amiga que es la que me ha dicho que el hotel esta estupendo en todos los sentidos. la ubicación un 10,,9.0,2025-12-14,fantástico
only you hotel valencia,guatemala,,2,pareja,repetiría,"muy lindo, cómodo, con detalles, excelente ubicación y atención. desayuno variado. sin duda repetiría.",,10.0,2025-12-07,fantástico
only you hotel valencia,méxico,,5,pareja,excepcional,"el personal... amable, el sushi que sirven en la barra del bar, el personal del bar y restaurante.","nada, nos quedamos encanto",10.0,2025-12-07,fantástico
only you hotel valencia,españa,,1,pareja,un hotel excepcional para ir de shopping !!,"la ubicación excelente , el personal y el desayuno top !",,10.0,2025-12-03,fantástico
only you hotel valencia,españa,,1,pareja,excepcional,"el desayuno suuuuper rico, la zona donde se encuentra el hotel, y el profesional que se encarga de los masajes  el mejor que nos hemos encontrado hasta la fecha en cualquier hotel o centro de wellness .",el gimnasio es super pequeño - básicamente es como si no tuvieran.,10.0,2025-12-02,fantástico
only you hotel valencia,argentina,,2,pareja,increíble !!!,la amabilidad del personal me sorprendió,"nada , todo muy bien",10.0,2025-12-01,fantástico
only you hotel valencia,españa,habitación doble premium - 2 camas,1,familia,"muy bien, pero un pero importante.","personal muy atento. buena zona de valencia. difícil aparcamiento, pero cuentan con parking concertado. el desayuno es fabuloso. ducha muy cómoda. buen baño. buena restauración en el propio hotel. un hotel que repetiría si no fuese por es aspecto negativo de la cama   probablemente el ítem mas importante de un hotel ","la cama no se corresponde al nivel del hotel. por lo menos en la habitación que se me asignó, la cama ya tenia la forma y te hundías.",9.0,2025-11-29,fantástico
only you hotel valencia,españa,,2,pareja,un hotel magnífico en todos sus sentidos.,todo en su conjunto.,,10.0,2025-11-29,fantástico
only you hotel valencia,españa,,3,pareja,fantástico,"la ubicación del hotel es perfecta, está muy céntrico. la decoración es bonita, un poco ecléctica. la habitación era amplia, bien decorada y luminosa. el baño tenía mucho espacio de encimera. el desayuno es muy completo y variado. el personal de todos los departamentos es muy amable. en la zona de recepción- bar hay bastante ambiente por la tarde.","quizás la calidad del relleno de las almohadas podría ser mejor , y eso que había tres..",9.0,2025-11-29,fantástico
only you hotel valencia,españa,,1,pareja,muy bien,,"la recepción. es parte de la cafetería que hay en la entrada y es muy ruidosa, sin espacio específico para el equipaje.",8.0,2025-11-23,fantástico
only you hotel valencia,españa,,2,pareja,maravillosa,"la ubicación es excepcional. hay muchos restaurantes al rededor, céntrico en las tiendas y de museos y sitios de interés.",no hay parking en el propio hotel.,10.0,2025-11-23,fantástico
only you hotel valencia,méxico,,2,pareja,only you el menor hotel para quedarte en madrid,"son excelentes anfitriones, recibieron un paquete de una tienda por mi, el lugar esta increíble y la zona en donde esta ubicado esta super nice, cerca de la puerta de alcalá, un lugar donde volveremos.",to do cumplió con mis expectativas.,10.0,2025-11-18,fantástico
only you hotel valencia,chile,,3,pareja,excepcional,"todo perfecto ! la ubicacion, la habitacion, la atencion, el desayuno , el café perfecto . todo muy bonito ademas",,10.0,2025-11-14,fantástico
only you hotel valencia,colombia,,3,pareja,ubicación excelente,muy cómodo. excelente ubicación. lo mejor: su personal.,me alabaron mucho la paella. buena pero no lo que esperaba.,9.0,2025-10-26,fantástico
only you hotel valencia,venezuela,,1,familia,fin de semana en valencia,"la ubicación es excelente, frente a una plaza muy bonita, el lobby tiene una floristería que le da un olor muy agradable al entrar, el personal, en especial borja, te atiende de manera muy cordial y están atentos a todos tus requerimientos. las habitaciones son cómodas, muy limpias y con muy buena iluminación. el restaurant el mirador tiene muy buena comida. con seguridad al volver a valencia me volveré a hospedarme en el only you.",todo perfecto,10.0,2025-10-26,fantástico
only you hotel valencia,españa,,2,familia,maravilloso fin de semana,"desayuno fantástico , personal amable , habitaciones con mucho detalle , y muy buen ambiente",todo perfecto,10.0,2025-10-24,fantástico
only you hotel valencia,españa,,2,pareja,maravillosa estancia,"la ubicación , decoración y servicios exelentes",mejor elegir una cama grande en vez de dos camas individuales juntas . la decoración es top.,10.0,2025-10-07,fantástico
only you hotel valencia,españa,,1,persona que viaja sola,muy agradable,muy céntrico y muy bien ubicado hotel espectacular,les cuesta contestar al teléfono,8.0,2025-09-30,fantástico
only you hotel valencia,méxico,,2,persona que viaja sola,excepcional,ubicación imagen limpieza,la ubicación y la atención del todos,10.0,2025-09-29,fantástico
only you hotel valencia,argentina,habitación doble premium - 2 camas,2,pareja,vuelvo a valencia y me alojo ahí ubicacion perfecta!,"la ubicación, la atención . el desayuno , las almohadas y camas!! buenísimas",quizás las alfombras un poco viejas,10.0,2025-09-17,fantástico
only you hotel valencia,españa,,1,pareja,"una buena opción en el centro, con magnífica ubicación y buenas instalaciones","la ubicación , la comodidad de la habitación y las instalaciones",el parking no es muy cómodo,9.0,2025-09-16,fantástico
only you hotel valencia,españa,,1,pareja,espectacular,espectacular buenisimo todo trato perfecto,,10.0,2025-09-14,fantástico
only you hotel valencia,españa,,1,pareja,100  lo esperado,la atención del personal sobre todo,,10.0,2025-09-11,fantástico
only you hotel valencia,españa,,1,pareja,muy bien,"su comodidad, limpieza y la atención del personal",,8.0,2025-09-07,fantástico
only you hotel valencia,colombia,,3,familia,el mejor sitio para haber llegado por primera vez a valencia,"absolutamente todo, comodidad, atención del personal, desayuno espectacular, ubicación",,10.0,2025-08-12,fantástico
only you hotel valencia,brasil,,2,pareja,todo perfecto!!!,el desayuno y la habitación,,10.0,2025-07-15,fantástico
only you hotel valencia,españa,,2,familia,muy bien,como siempre ubicación y la decoración y el buen gusto del hotel,el tema parking que no está bien y el descuento es ridículo sobretodo que el que hay cerca es desorbitado el precio parece mentira no tener un acuerdo mayor,8.0,2025-07-07,fantástico
