nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
casual vintage valencia,españa,,3,familia,una estancia estupenda en valencia,la ubicacion excelente al igual que el personal camas cómodas buena relación calidad-precio,,9.0,2026-03-28,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,grupo,"confortable, muy bien ubicado, el personal tiene que coger más práctica en su trabajo.",la habitación era muy chula. me encantó el ventanal!!,no había toallas en la habitación. llamé por teléfono a recepción pero no contestaban el teléfono. bajé a decirles y me dieron las toallas. tuve que subírmelas yo mismo a la habitación.,7.0,2026-03-26,muy bien
casual vintage valencia,españa,habitación triple,2,grupo,ubicación y atención perfectas. desayuno decepcionante,"el personal de recepción. excepcional la atención, amables, atentos y simpaticos","el desayuno. una lástima que, estando en valencia, el zumo de naranja no sea natural y no embotellado. el huevo revuelto tampoco está a la altura del precio, ni los fiambres ni la fruta. el desayuno, una decepción",9.0,2026-03-19,muy bien
casual vintage valencia,argentina,habitación triple,1,familia,fantástico,"excelente ubicación, habitación grande y cómoda. tuvimos un inconveniente con el agua pero en compensación nos dieron incluyeron el desayuno.",,9.0,2026-02-04,muy bien
casual vintage valencia,españa,habitación doble con terraza,2,pareja,alojamiento cómodo en el centro de valencia,la ubicación es estupenda justo al lado de la plaza del ayuntamiento. habitación muy amplia y cómoda,"el desayuno, mal organizado.",8.0,2026-01-31,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,4,persona que viaja sola,agradable y cómoda,el personal de recepción eran muy simpáticos y agradables. no pude desayunar y me daban la opción de picnic.,"un poco fría, el aire acondicionado no daba mucho calor",8.0,2026-01-29,muy bien
casual vintage valencia,españa,,1,familia,genial,el desayuno variado y rico. el personal es muy amable. el hotel tiene una ubicación excelente.,,8.0,2026-01-27,muy bien
casual vintage valencia,españa,habitación doble,1,pareja,estuvo genial,atención del personal,una nevera en la habitación,8.0,2026-01-26,muy bien
casual vintage valencia,españa,,1,pareja,recomendado ñ,muy buena ubicación y la atención,"estuvo bien, aunque la habitación no tenía buena vista.",9.0,2026-01-25,muy bien
casual vintage valencia,españa,,1,pareja,descanso navideño para repetir,muy recomendable por su ubicacion. valencia bonita!!!!,,9.0,2026-01-22,muy bien
casual vintage valencia,españa,,1,grupo,"un hotel muy céntrico y económico, y sobre todo muy limpio todo","la ubicación es excelente y la habitación estaba muy bien, lo único que eché de menos fue un espacio para colocar la ropa",,8.0,2026-01-21,muy bien
casual vintage valencia,españa,,1,persona que viaja sola,"me encontre como en casa, un hotel muy tranquilo.","la atencion de los trabajadores, fue excelente.","como pasa en muchos hoteles, el desayuno para diabeticos, tension alta, colesterol , etc.... no hay apenas alimentos en los desayunos. era un desayuno tipo guiri, porquè al estar en españa no se sirven productos españoles?, ejem. el zumo de naranja que sea natural y no con tanto azucar, no pude tomar ningun zumo.",9.0,2026-01-07,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,pareja,muy bien,la ubicacion en pleno centro,,8.0,2025-12-28,muy bien
casual vintage valencia,chile,habitación interior individual pequeña,2,persona que viaja sola,ubicación excelente,ubicación,iluminación,8.0,2025-12-23,muy bien
casual vintage valencia,españa,habitación doble,1,pareja,excelente ubicación para moverte por el centro,"la ubicación es perfecta, en pleno centro, cerca de todo. la cama es cómoda. agua y cafe gratis en la habitación. personal de recepción muy amable.","al estar la habitación en la primera planta y las ventanas no estar bien insonorizadas se escuchaba todo el ruido de la calle, incluso notabas como entraba frío por la ventana. algunos azulejos del baño con moho en la parte de la ducha.",7.0,2025-12-21,muy bien
casual vintage valencia,españa,habitación triple,1,grupo,las chica de recepción italiana muy maja,ubicación,agus caliente hirviendo,8.0,2025-12-21,muy bien
casual vintage valencia,españa,habitación doble,1,pareja,muy bien,la camada muy comoda y la situacion y las vistas excelentes.,"por decir algo,que para entrar en el servicio habia un escalon.",8.0,2025-12-20,muy bien
casual vintage valencia,argentina,,1,pareja,merece una estrella más,ubicación excelente habitación cómoda,,9.0,2025-12-01,muy bien
casual vintage valencia,argentina,habitación doble - 2 camas,2,persona que viaja sola,muy bien,la ubicación,no tiene loby,8.0,2025-11-29,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,persona que viaja sola,muy buena,muy tranquilo a pesar de estar en el centro. la habitación era enorme. la cama muy grande y cómoda. todo muy limpio. el baño bien equipado y había agua embotellada,la puerta de la habitación no se podía cerrar por dentro,9.0,2025-11-21,muy bien
casual vintage valencia,argentina,,2,pareja,regular,"la excelente ubicación, a 600 mts de estación nord y cerca del centro",que te cobren hasta el agua y te den solo 1 el primer día ,9.0,2025-10-30,muy bien
