web_scraper_start_url,nombre_del_hotel,nombre_usuario,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,nota_personal,nota_confort,nota_wifi,nota_instalaciones_servicios,nota_calidad_precio,nota_limpieza,nota_ubicacion,nota_media_resenas,comentario_media_hotel
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Victor,España,,2 noches ·,Persona que viaja sola,Fantástico,Todo perfecto.,,"9,0",Fecha del comentario: 15 de abril de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Jeniffer,España,,1 noche ·,En grupo,Fantástico,Mui bien ubicado,,"9,0",Fecha del comentario: 12 de abril de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Estefania,España,,2 noches ·,Persona que viaja sola,Bien,"Elegimos este hotel por su ubicación para ir al Oceanografic, necesita una reforma pero es cómodo y se está a gusto.Hay un montón de sitios al lado para comer.",Hay mobiliario que necesita ser renovado.,"7,0",Fecha del comentario: 12 de abril de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Ferrer,España,,2 noches ·,En pareja,Muy recomendable!!,"La cama es muy cómoda!. La habitación no era muy grande pero estaba muy limpia. Muy buen desayuno muy completo y bueno. El personal muy agradable. La ubicación es ideal, justo en el centro comercial (he de decir que no se escucha un ruido de eso) y a un par de pasos de la Ciudad de las Artes y Ciencias","Las almohadas son un poco pobres, y en nuestra planta había un olor sospechosamente a alguna sustancia digamos especial, (no culpa del hotel pero olía muchísimo). Echamos de menos algún mini bar. El parking que sea privado y haya que pagar es algo un poco a echar en falta en este tipo de servicios, aunque te dan descuento pero… aun así pagas.","9,0",Fecha del comentario: 9 de abril de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Daniel,España,,3 noches ·,En pareja,Cómodo y practico,Limpio y cómodo.,No hay nada que no me gustara,"9,0",Fecha del comentario: 6 de abril de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Gonzalez,España,,3 noches ·,En grupo,Muy bien,La ubicación y el parking,"El colchón incómodo. La almohada igual. Las lonas por detrás de las cortinas están rotas y ""se cuela"" mucha claridad","8,0",Fecha del comentario: 6 de abril de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Victor,España,,1 noche ·,En familia,Muy bien,Todo genial,,"8,0",Fecha del comentario: 5 de abril de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Luis,España,,1 noche ·,En pareja,Ideal para conciertos,Muy cómodo y con aparcamiento,,"9,0",Fecha del comentario: 5 de abril de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Natalia,España,,2 noches ·,En grupo,Muy bien,La ubicación,"La atencion de una de las recepcionistas, fue muy desgradable y mal educada, ni siquiera  fue capaz de decirme que ya habia acabado el proceso del check in, directamente se puso a hablar por telefono y tuve que intuir que ya habiamos terminado...ni las gracias me dio
Las instalaciones estan bastante deterioradas, y la luz del baño se quedbaa detras de la puerta del baño y no la podias encender...","8,0",Fecha del comentario: 30 de marzo de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,José,España,,4 noches ·,Persona que viaja sola,Muy bien,La tranquilidad de noche. Pese a estar en fallas debido a su ubicación se dormía bien.,Por el mismo motivo(la ubicación) queda algo alejado del cwntro. Ah y no había minibar.,"8,0",Fecha del comentario: 19 de marzo de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
