web_scraper_order,web_scraper_start_url,nombre_del_hotel,nombre_usuario,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,nota_personal,nota_confort,nota_wifi,nota_instalaciones_servicios,nota_calidad_precio,nota_limpieza,nota_ubicacion,nota_media_resenas,comentario_media_hotel
"1776284293-1","https://www.booking.com/hotel/es/nh-valencia-las-ciencias.es.html?aid=356980&label=gog235jc-10CAsoRkIYbmgtdmFsZW5jaWEtbGFzLWNpZW5jaWFzSApYA2hGiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALa1v3OBsACAdICJDlhZmNlZjUzLWVmYmUtNGMwNC1hYjBlLTA2ODNjZWM1OGQ4Y9gCAeACAQ&sid=afddae5c6fc30453f2483d9a4a11013d&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776249701&srpvid=5aba4b2d576509e7&type=total&ucfs=1&","NH Valencia Las Ciencias","Monica","España","","2 noches ·","Persona que viaja sola","Repetiré si vuelvo a Valencia","Ubicación, limpieza, desayuno muy completo","","9,0","Fecha del comentario: 14 de abril de 2026","8,7","8,2","7,8","7,8","7,6","8,4","8,9","7,9","Bien"
"1776284293-2","https://www.booking.com/hotel/es/nh-valencia-las-ciencias.es.html?aid=356980&label=gog235jc-10CAsoRkIYbmgtdmFsZW5jaWEtbGFzLWNpZW5jaWFzSApYA2hGiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALa1v3OBsACAdICJDlhZmNlZjUzLWVmYmUtNGMwNC1hYjBlLTA2ODNjZWM1OGQ4Y9gCAeACAQ&sid=afddae5c6fc30453f2483d9a4a11013d&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776249701&srpvid=5aba4b2d576509e7&type=total&ucfs=1&","NH Valencia Las Ciencias","Pedro","España","","2 noches ·","Persona que viaja sola","Fantástico","Ubicacion","Ascensores","9,0","Fecha del comentario: 12 de abril de 2026","8,7","8,2","7,8","7,8","7,6","8,4","8,9","7,9","Bien"
"1776284293-3","https://www.booking.com/hotel/es/nh-valencia-las-ciencias.es.html?aid=356980&label=gog235jc-10CAsoRkIYbmgtdmFsZW5jaWEtbGFzLWNpZW5jaWFzSApYA2hGiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALa1v3OBsACAdICJDlhZmNlZjUzLWVmYmUtNGMwNC1hYjBlLTA2ODNjZWM1OGQ4Y9gCAeACAQ&sid=afddae5c6fc30453f2483d9a4a11013d&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776249701&srpvid=5aba4b2d576509e7&type=total&ucfs=1&","NH Valencia Las Ciencias","Miguel","España","","1 noche ·","Persona que viaja sola","No está mal para una visita rápida","La ubicación y el precio","Me tocó la habitación 116 y hubo mucho ruido. Las paredes y las puertas son muy finas","8,0","Fecha del comentario: 6 de abril de 2026","8,7","8,2","7,8","7,8","7,6","8,4","8,9","7,9","Bien"
"1776284293-4","https://www.booking.com/hotel/es/nh-valencia-las-ciencias.es.html?aid=356980&label=gog235jc-10CAsoRkIYbmgtdmFsZW5jaWEtbGFzLWNpZW5jaWFzSApYA2hGiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALa1v3OBsACAdICJDlhZmNlZjUzLWVmYmUtNGMwNC1hYjBlLTA2ODNjZWM1OGQ4Y9gCAeACAQ&sid=afddae5c6fc30453f2483d9a4a11013d&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776249701&srpvid=5aba4b2d576509e7&type=total&ucfs=1&","NH Valencia Las Ciencias","Claudia","España","","3 noches ·","En pareja","Fantástico","La cama muy cómoda y la situación del hotel es perfecta.","","9,0","Fecha del comentario: 6 de abril de 2026","8,7","8,2","7,8","7,8","7,6","8,4","8,9","7,9","Bien"
"1776284293-5","https://www.booking.com/hotel/es/nh-valencia-las-ciencias.es.html?aid=356980&label=gog235jc-10CAsoRkIYbmgtdmFsZW5jaWEtbGFzLWNpZW5jaWFzSApYA2hGiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALa1v3OBsACAdICJDlhZmNlZjUzLWVmYmUtNGMwNC1hYjBlLTA2ODNjZWM1OGQ4Y9gCAeACAQ&sid=afddae5c6fc30453f2483d9a4a11013d&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776249701&srpvid=5aba4b2d576509e7&type=total&ucfs=1&","NH Valencia Las Ciencias","Cristina","España","","2 noches ·","En pareja","Fantástico","Buena ubicación y habitaciones","","9,0","Fecha del comentario: 4 de abril de 2026","8,7","8,2","7,8","7,8","7,6","8,4","8,9","7,9","Bien"
"1776284293-6","https://www.booking.com/hotel/es/nh-valencia-las-ciencias.es.html?aid=356980&label=gog235jc-10CAsoRkIYbmgtdmFsZW5jaWEtbGFzLWNpZW5jaWFzSApYA2hGiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALa1v3OBsACAdICJDlhZmNlZjUzLWVmYmUtNGMwNC1hYjBlLTA2ODNjZWM1OGQ4Y9gCAeACAQ&sid=afddae5c6fc30453f2483d9a4a11013d&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776249701&srpvid=5aba4b2d576509e7&type=total&ucfs=1&","NH Valencia Las Ciencias","Carolina","España","","3 noches ·","En familia","Para repetir","El personal súper amable y profesional. Felicitaciones al chef y camareros/as por la comida tan deliciosa. Felicitaciones al personal de limpieza por su amabilidad y también a recepción por su calidez.","Bastante ruido se escuchaba de la calle","8,0","Fecha del comentario: 3 de abril de 2026","8,7","8,2","7,8","7,8","7,6","8,4","8,9","7,9","Bien"
"1776284293-7","https://www.booking.com/hotel/es/nh-valencia-las-ciencias.es.html?aid=356980&label=gog235jc-10CAsoRkIYbmgtdmFsZW5jaWEtbGFzLWNpZW5jaWFzSApYA2hGiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALa1v3OBsACAdICJDlhZmNlZjUzLWVmYmUtNGMwNC1hYjBlLTA2ODNjZWM1OGQ4Y9gCAeACAQ&sid=afddae5c6fc30453f2483d9a4a11013d&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776249701&srpvid=5aba4b2d576509e7&type=total&ucfs=1&","NH Valencia Las Ciencias","Romero","España","","2 noches ·","En pareja","Muy bien","La ubicación","La ducha y el calor de la habitación","8,0","Fecha del comentario: 1 de abril de 2026","8,7","8,2","7,8","7,8","7,6","8,4","8,9","7,9","Bien"
"1776284293-8","https://www.booking.com/hotel/es/nh-valencia-las-ciencias.es.html?aid=356980&label=gog235jc-10CAsoRkIYbmgtdmFsZW5jaWEtbGFzLWNpZW5jaWFzSApYA2hGiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALa1v3OBsACAdICJDlhZmNlZjUzLWVmYmUtNGMwNC1hYjBlLTA2ODNjZWM1OGQ4Y9gCAeACAQ&sid=afddae5c6fc30453f2483d9a4a11013d&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776249701&srpvid=5aba4b2d576509e7&type=total&ucfs=1&","NH Valencia Las Ciencias","Núria","España","","2 noches ·","En grupo","Muy bien","Cama cómoda y desayuno bueno","Un poco alejado del centro","8,0","Fecha del comentario: 19 de marzo de 2026","8,7","8,2","7,8","7,8","7,6","8,4","8,9","7,9","Bien"
"1776284293-9","https://www.booking.com/hotel/es/nh-valencia-las-ciencias.es.html?aid=356980&label=gog235jc-10CAsoRkIYbmgtdmFsZW5jaWEtbGFzLWNpZW5jaWFzSApYA2hGiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALa1v3OBsACAdICJDlhZmNlZjUzLWVmYmUtNGMwNC1hYjBlLTA2ODNjZWM1OGQ4Y9gCAeACAQ&sid=afddae5c6fc30453f2483d9a4a11013d&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776249701&srpvid=5aba4b2d576509e7&type=total&ucfs=1&","NH Valencia Las Ciencias","Raquel","España","","4 noches ·","En pareja","Para descansar está bien.","La cama es cómoda y quiero recalcar el papel de la limpiadora.","Los baños necesitan una reforma urgente. Además, son un poco estrechos y la mampara necesita también un cambio, ya que se filtraba el agua por debajo. El minibar hacía ruidos raros que por la noche son algo molestos.","7,0","Fecha del comentario: 17 de marzo de 2026","8,7","8,2","7,8","7,8","7,6","8,4","8,9","7,9","Bien"
"1776284293-10","https://www.booking.com/hotel/es/nh-valencia-las-ciencias.es.html?aid=356980&label=gog235jc-10CAsoRkIYbmgtdmFsZW5jaWEtbGFzLWNpZW5jaWFzSApYA2hGiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALa1v3OBsACAdICJDlhZmNlZjUzLWVmYmUtNGMwNC1hYjBlLTA2ODNjZWM1OGQ4Y9gCAeACAQ&sid=afddae5c6fc30453f2483d9a4a11013d&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776249701&srpvid=5aba4b2d576509e7&type=total&ucfs=1&","NH Valencia Las Ciencias","Conchi","España","","2 noches ·","En pareja","Fantástico","EL hotel está ubicado en una zona desde la que puedes conocer la ciudad fácilmente. El personal muy amable. Hemos estado muy agusto. Ya habíamos estado antes. Volveremos:)","","9,0","Fecha del comentario: 16 de marzo de 2026","8,7","8,2","7,8","7,8","7,6","8,4","8,9","7,9","Bien"
