web_scraper_order,web_scraper_start_url,nombre_del_hotel,nombre_usuario,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,nota_personal,nota_confort,nota_wifi,nota_instalaciones_servicios,nota_calidad_precio,nota_limpieza,nota_ubicacion,nota_media_resenas,comentario_media_hotel
1776285103-1,https://www.booking.com/hotel/es/las-arenas-ca-n-pastilla-palma.es.html?aid=2311236&label=es-es-booking-desktop-KFCifIIdfodgoKudXjro1wS652829001115%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9198307%3Ali%3Adec%3Adm&sid=ddc5dd2c08976c6436a05286a996cd64&checkin=2026-04-17&checkout=2026-04-18&dest_id=14857&dest_type=hotel&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1776274716&srpvid=6aa47c09924a0078&type=total&ucfs=1&#no_availability_msg,Hotel Las Arenas Balneario Resort,Carlos,España,Habitación Individual Estándar,1 noche ·,Persona que viaja sola,Hotel muy recomendable para estancias de trabajo,"Cené en el buffet y la nota que le podría sería un 7,8",La calidad de algunos de productos del desayuno. Especialmente el zumo y la bollería no estaban a la altura,"9,0",Fecha del comentario: 27 de marzo de 2026,"8,9","8,9","8,3","8,6","8,5","8,9","9,2","8,6",Fabuloso
1776285103-2,https://www.booking.com/hotel/es/las-arenas-ca-n-pastilla-palma.es.html?aid=2311236&label=es-es-booking-desktop-KFCifIIdfodgoKudXjro1wS652829001115%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9198307%3Ali%3Adec%3Adm&sid=ddc5dd2c08976c6436a05286a996cd64&checkin=2026-04-17&checkout=2026-04-18&dest_id=14857&dest_type=hotel&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1776274716&srpvid=6aa47c09924a0078&type=total&ucfs=1&#no_availability_msg,Hotel Las Arenas Balneario Resort,Carolina,España,Habitación Individual Estándar,2 noches ·,Persona que viaja sola,Excepcional,"El hotel es muy cómodo,  a pie de playa, perfecto para pasear con tiendas y restaurantes variados. Muy cerca de Palma. 
Un desayuno espectacular con variedad para todos los gustos! 
Y lo mejor el personal!!!! En recepción,  en buffet, en limpieza,  todos muy amables!!!!!!!! Gracias!!!",No tengo nada negativo que decir!,10,Fecha del comentario: 23 de marzo de 2026,"8,9","8,9","8,3","8,6","8,5","8,9","9,2","8,6",Fabuloso
1776285103-3,https://www.booking.com/hotel/es/las-arenas-ca-n-pastilla-palma.es.html?aid=2311236&label=es-es-booking-desktop-KFCifIIdfodgoKudXjro1wS652829001115%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9198307%3Ali%3Adec%3Adm&sid=ddc5dd2c08976c6436a05286a996cd64&checkin=2026-04-17&checkout=2026-04-18&dest_id=14857&dest_type=hotel&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1776274716&srpvid=6aa47c09924a0078&type=total&ucfs=1&#no_availability_msg,Hotel Las Arenas Balneario Resort,Luis,Chile,Habitación Doble Estándar,2 noches ·,En pareja,Excepcional,"Está bien ubicado, y está limpio",Todo ok,10,Fecha del comentario: 29 de noviembre de 2025,"8,9","8,9","8,3","8,6","8,5","8,9","9,2","8,6",Fabuloso
1776285103-4,https://www.booking.com/hotel/es/las-arenas-ca-n-pastilla-palma.es.html?aid=2311236&label=es-es-booking-desktop-KFCifIIdfodgoKudXjro1wS652829001115%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9198307%3Ali%3Adec%3Adm&sid=ddc5dd2c08976c6436a05286a996cd64&checkin=2026-04-17&checkout=2026-04-18&dest_id=14857&dest_type=hotel&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1776274716&srpvid=6aa47c09924a0078&type=total&ucfs=1&#no_availability_msg,Hotel Las Arenas Balneario Resort,Clara,Argentina,Habitación Doble con vistas laterales al mar,5 noches ·,En familia,Brillante,"Cuando llegue no me guso porque la han daba a un lugar feo pero me cambiaron y todo superó mis espectativas , personal, comida todoooo!!! Volveria",,10,Fecha del comentario: 22 de noviembre de 2025,"8,9","8,9","8,3","8,6","8,5","8,9","9,2","8,6",Fabuloso
1776285103-5,https://www.booking.com/hotel/es/las-arenas-ca-n-pastilla-palma.es.html?aid=2311236&label=es-es-booking-desktop-KFCifIIdfodgoKudXjro1wS652829001115%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9198307%3Ali%3Adec%3Adm&sid=ddc5dd2c08976c6436a05286a996cd64&checkin=2026-04-17&checkout=2026-04-18&dest_id=14857&dest_type=hotel&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1776274716&srpvid=6aa47c09924a0078&type=total&ucfs=1&#no_availability_msg,Hotel Las Arenas Balneario Resort,Emilia,España,Habitación Doble con vistas al mar,3 noches ·,En familia,Genial,me gusto todo,las comisiones por pedirte un taxi,10,Fecha del comentario: 27 de octubre de 2025,"8,9","8,9","8,3","8,6","8,5","8,9","9,2","8,6",Fabuloso
1776285103-6,https://www.booking.com/hotel/es/las-arenas-ca-n-pastilla-palma.es.html?aid=2311236&label=es-es-booking-desktop-KFCifIIdfodgoKudXjro1wS652829001115%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9198307%3Ali%3Adec%3Adm&sid=ddc5dd2c08976c6436a05286a996cd64&checkin=2026-04-17&checkout=2026-04-18&dest_id=14857&dest_type=hotel&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1776274716&srpvid=6aa47c09924a0078&type=total&ucfs=1&#no_availability_msg,Hotel Las Arenas Balneario Resort,Blanca,España,Habitación Doble con vistas al mar,3 noches ·,En familia,Excepcional,"Personal muy agradable. La ubicación inmejorable, a pie de playa.",,10,Fecha del comentario: 27 de octubre de 2025,"8,9","8,9","8,3","8,6","8,5","8,9","9,2","8,6",Fabuloso
1776285103-7,https://www.booking.com/hotel/es/las-arenas-ca-n-pastilla-palma.es.html?aid=2311236&label=es-es-booking-desktop-KFCifIIdfodgoKudXjro1wS652829001115%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9198307%3Ali%3Adec%3Adm&sid=ddc5dd2c08976c6436a05286a996cd64&checkin=2026-04-17&checkout=2026-04-18&dest_id=14857&dest_type=hotel&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1776274716&srpvid=6aa47c09924a0078&type=total&ucfs=1&#no_availability_msg,Hotel Las Arenas Balneario Resort,Gloria,Argentina,Habitación Doble con vistas al mar,5 noches ·,En pareja,Excepcional,todo genial,"el horario de la cena, es muy temprano",10,Fecha del comentario: 15 de septiembre de 2025,"8,9","8,9","8,3","8,6","8,5","8,9","9,2","8,6",Fabuloso
1776285103-8,https://www.booking.com/hotel/es/las-arenas-ca-n-pastilla-palma.es.html?aid=2311236&label=es-es-booking-desktop-KFCifIIdfodgoKudXjro1wS652829001115%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9198307%3Ali%3Adec%3Adm&sid=ddc5dd2c08976c6436a05286a996cd64&checkin=2026-04-17&checkout=2026-04-18&dest_id=14857&dest_type=hotel&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1776274716&srpvid=6aa47c09924a0078&type=total&ucfs=1&#no_availability_msg,Hotel Las Arenas Balneario Resort,Manuel,España,Habitación Individual Estándar,4 noches ·,Persona que viaja sola,Excelente espero volver.,La atención del personal todos muy atentos.siempre dispuestos para ayudarte.,,10,Fecha del comentario: 30 de agosto de 2025,"8,9","8,9","8,3","8,6","8,5","8,9","9,2","8,6",Fabuloso
1776285103-9,https://www.booking.com/hotel/es/las-arenas-ca-n-pastilla-palma.es.html?aid=2311236&label=es-es-booking-desktop-KFCifIIdfodgoKudXjro1wS652829001115%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9198307%3Ali%3Adec%3Adm&sid=ddc5dd2c08976c6436a05286a996cd64&checkin=2026-04-17&checkout=2026-04-18&dest_id=14857&dest_type=hotel&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1776274716&srpvid=6aa47c09924a0078&type=total&ucfs=1&#no_availability_msg,Hotel Las Arenas Balneario Resort,Gustavo,Argentina,Habitación Individual Estándar,5 noches ·,Persona que viaja sola,Estadía comoda,"El desayuno , la amabilidad del personal de Recepción , las instalaciones del lugar y los alrededores.",La comida del restaurante y los Jugos sintéticos del desayuno.,"9,0",Fecha del comentario: 26 de agosto de 2025,"8,9","8,9","8,3","8,6","8,5","8,9","9,2","8,6",Fabuloso
1776285103-10,https://www.booking.com/hotel/es/las-arenas-ca-n-pastilla-palma.es.html?aid=2311236&label=es-es-booking-desktop-KFCifIIdfodgoKudXjro1wS652829001115%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9198307%3Ali%3Adec%3Adm&sid=ddc5dd2c08976c6436a05286a996cd64&checkin=2026-04-17&checkout=2026-04-18&dest_id=14857&dest_type=hotel&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1776274716&srpvid=6aa47c09924a0078&type=total&ucfs=1&#no_availability_msg,Hotel Las Arenas Balneario Resort,David,España,Habitación Doble con vistas laterales al mar,2 noches ·,En pareja,Así da gusto viajar,La habitación en general personal muy amable  la terraza del Sky y el buffet,"Por decir algo ,tema ascensor y la tele un poco separada de la pared",10,Fecha del comentario: 24 de agosto de 2025,"8,9","8,9","8,3","8,6","8,5","8,9","9,2","8,6",Fabuloso
