nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
barceló valencia,colombia,,2,familia,espectacular,espectacular todo! restaurante; servicio; habitación tamaño todooooo 10 de 10 volvería mil veces más,todo me gustó,10.0,2026-04-14,fabuloso
barceló valencia,españa,,1,pareja,muy bien,,,9.0,2026-04-05,fabuloso
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,1,familia,fantástico,"habitaciones amplias, limpieza y ubicación",,9.0,2026-04-03,fabuloso
barceló valencia,españa,,1,pareja,todo perfecto,el trato en recepción,el estacionamiento,10.0,2026-03-21,fabuloso
barceló valencia,españa,,2,pareja,una nit del foc inolvidable.,las vistas y el tamaño de la habitación.,"la calefacción central, sólo eso.",10.0,2026-03-20,fabuloso
barceló valencia,españa,,1,pareja,excepcional,me encantó,todo súper bien,10.0,2026-03-17,fabuloso
barceló valencia,españa,,1,persona que viaja sola,extraordinario,todo,nada,10.0,2026-03-16,fabuloso
barceló valencia,españa,,1,pareja,espectacular,"nos encantó la habitación super espaciosa, cama grande y muy cómoda. el personal muy amable. el desayuno espectacular",,9.0,2026-03-08,fabuloso
barceló valencia,suiza,,1,pareja,magnífica,una limpieza impecable y el trato del personal de la recepción excepcional,,10.0,2026-03-02,fabuloso
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,1,grupo,fantástico,la habitación muy bonita y cómoda,,9.0,2026-03-01,fabuloso
barceló valencia,españa,,1,persona que viaja sola,muy buen hotel.,"muy buena localización, buen lugar.",nada que destacar,10.0,2026-02-19,fabuloso
barceló valencia,argentina,,2,pareja,agradable estadía en barceló,excelente instalaciones. la vista desde nuestra habitación espectacular ya que nos permitía ver la ciudad de las artes.,"un detalle, el agua de la ducha de manera muy intermitente salía fría.",10.0,2026-02-03,fabuloso
barceló valencia,españa,,1,grupo,excepcional,ubicación excelente...tuvimos un pequeño problema y no lo arreglaron momento almuerzo muy bueno cara feliz con ojos sonrientes,todo muy bien señal de aprobación con la mano,10.0,2026-02-02,fabuloso
barceló valencia,colombia,,2,pareja,excelente estancia. pra volver una vez màs.,desayuno muy completo y con muy buena atenciòn.,en general todo me gustò.,9.0,2026-01-14,fabuloso
barceló valencia,españa,,1,pareja,excepcional,"la situación, la comodidad, y el personal.",las almohadas eran bastante blandas para mi gusto.,10.0,2026-01-12,fabuloso
barceló valencia,venezuela,,3,grupo,excepcional,"la ubicación, instalaciones y atención.",no hay nada que comentar.,10.0,2026-01-10,fabuloso
barceló valencia,países bajos,,1,persona que viaja sola,mi estancia en el hotel fue excelente. el hotel es magnífico y supera las expectativas,"la habitación del hotel fue excelente y superó nuestras expectativas. era amplia,muy limpia y cuidadosamente preparada. la cama era muy cómoda,lo que garantizó un descanso perfecto. el baño era moderno y estaba impecable, con todas las comodidades necesarias. la habitación estaba bien insonorizada,por lo que era muy tranquila, y el aire acondicionado funcionaba perfectamente. además,todo el equipamiento estaba en muy buen estado. sin duda,una estancia muy agradable y totalmente recomendable.",no hubo ningún aspecto negativo;todo fue excelente,10.0,2026-01-09,fabuloso
barceló valencia,españa,,1,persona que viaja sola,excepcional,ser el cliente vip. ese dia,,10.0,2025-12-30,fabuloso
barceló valencia,españa,,1,pareja,excepcional,de lujo todo me encanta...,,10.0,2025-12-25,fabuloso
barceló valencia,españa,,2,pareja,perfecta!,"la habitación muy amplia y la cama grande, ideal para personas altas. ubicación genial al lado de la ciudad de las ciencias. hay parquing de pago  unos 18 euros al dia  pero se puede aparcar bien por la zona. desayuno muy bueno y completo! hay zona de restauración alrededor del hotel."," el ascensor!  hay tres, pero hay cola para cogerlo!  hemos estado casi más de 5 minutos para poder subir o bajar! la opción de ir a pie en función del piso que te toque...",10.0,2025-12-03,fabuloso
barceló valencia,españa,,1,pareja,excepcional,"amabilidad y flexibilidad del personal, la comodidad de la cama y la amplitud de la habitación",nada,10.0,2025-12-03,fabuloso
barceló valencia,españa,,1,pareja,excepcional,"el diseño, la decoración, limpieza y las increíbles vistas. sin dejar atras el personal que un 10, educados, te explican todo genial y resuelven tus dudas excelentemente.",,10.0,2025-12-02,fabuloso
barceló valencia,españa,,2,pareja,fantástico,"dar las gracias a rodrigo en recepción. fue muy amable y profesional. es muy importante como te reciben en la recepción, es empezar la estancia con confianza y lo agradeces después de un viaje largo. cenamos en el hotel y también la atención y el menú genial. hemos vuelto después de estar un tiempo sin ir porque la última vez no nos permitieron subir a la terraza y en cambio había personas jóvenes que no se alojaban como nosotros en el hotel. les recomiendo el hotel , hay bus a la playa y al centro. y caminando la ciudad de las ciencias. volveremos, ya que valencia es mi tierra maravillosa.",,9.0,2025-11-23,fabuloso
barceló valencia,españa,,2,pareja,excepcional,ubicación y limpieza,algo caro,10.0,2025-11-10,fabuloso
barceló valencia,españa,,1,persona que viaja sola,excepcional,muy bonito,,10.0,2025-11-07,fabuloso
barceló valencia,españa,,1,persona que viaja sola,fantástico,la habitación personal y el desayuno todo muy bien gracias pulgar hacia arriba,,9.0,2025-11-03,fabuloso
barceló valencia,españa,,1,pareja,recomendable,"la ubicación excelente. la atención muy buena. las vistas de lujo. para corredores de media y maratón, el sitio ideal",el aseo emitía un olor desagradable,8.0,2025-10-26,fabuloso
barceló valencia,españa,,1,pareja,noche de bodas espectacular,habitación impecable sin ruidos,nada,9.0,2025-10-25,fabuloso
barceló valencia,perú,,4,familia,"confort ,relax ,seguridad",desayuno excelente,todo bien,10.0,2025-10-20,fabuloso
barceló valencia,españa,,1,pareja,excepcional,la ubicación,el desayuno es bastante caro.,10.0,2025-10-19,fabuloso
barceló valencia,españa,,3,familia,excepcional,ubicación, ,10.0,2025-10-11,fabuloso
barceló valencia,españa,,1,pareja,maravilloso,tuve la suerte de que me hicieron cliente vip del dia. me regalaron 2 bebidas en su espectacular terraza y ademas me dieron una habitacion mejor a la que habia contratado. me hiceron el fin de semana mas feliz. se lo agradezco enormemente!!,me gusto todo.,10.0,2025-10-02,fabuloso
barceló valencia,españa,,2,pareja,fin de semana valencia,ubicación y limpieza,aire acondicionado centralizado muy fuerte,9.0,2025-09-28,fabuloso
barceló valencia,argentina,,4,pareja,todo exelente,"exelente trató del personal ! confort de habitación ! exelente desayuno , muy practica la ubicación",,10.0,2025-09-16,fabuloso
barceló valencia,españa,,1,pareja,noche de bodas,las vistas,nos gustó todo,10.0,2025-09-08,fabuloso
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,3,familia,todo fantástico,las habitaciones muy grandes y cómodas.todo muy limpio. el buffet muy completo .además coincidió el viaje con la fecha de mi cumpleaños y han tenido el detalle de felicitarme y dejarme una pequeña sorpresa en la habitación muy contenta con la estancia!,,10.0,2025-09-07,fabuloso
barceló valencia,españa,,1,pareja,hotel de referencia en valencia,"muy buen hotel para disfrutar en valencia, sobre todo por la zona de la ciudad de las ciencias. muy cómodo y limpio. que tenga parking es un plus.",,9.0,2025-09-01,fabuloso
barceló valencia,españa,,2,pareja,fantástico,"muy buena vista y muy comoda la habitacion, no subimos a su mirador y no desayunamos por lo tanto no puedo opinar al respecto",,9.0,2025-08-28,fabuloso
barceló valencia,venezuela,,2,familia,excelente,todo excelente,,10.0,2025-08-19,fabuloso
barceló valencia,españa,,2,pareja,"excelente estancia, repito sin objeciones","atención agradable, habitación muy cómoda y desayuno espectacular.",un poco incómodo el parking,10.0,2025-08-18,fabuloso
barceló valencia,españa,,2,pareja,"excelente tamaño de la habitación, aire acondicionado y cama muy cómoda.","buena ubicación, amplia habitación, cama king size, muy cómoda. fabuloso aire acondicionado","el parking es tan estrecho que preferimos aparcar en la calle. el baño está  integrado  en la habitación, sin una puerta normal y con una pared de cristal que hace que si enciendes la luz para usarlo por la noche, moleste. debería haber un ascensor exclusivo para el rooftop. por las tardes es muy difícil coger el ascensor para subir-bajar a las habitaciones. siempre están llenos de gente que va a la azotea. tuvimos que bajar andando por las escaleras",8.0,2025-08-17,fabuloso
barceló valencia,argentina,,3,pareja,casi cumple con todo lo que buscábamos,"ubicación! limpieza, desayuno",piscina diminuta! gimnasio pequeño!,8.0,2025-08-14,fabuloso
barceló valencia,españa,,2,familia,"muy bien, con matices","la habitación doble superior muy bien , la cercanía al océanografic, el desayuno inmejorable","la habitación triple no lo es, es una doble con tres camas lo lejos que está del centro",9.0,2025-08-12,fabuloso
barceló valencia,argentina,,1,grupo,muy recomendable,todo,un poco amargado el personal de recepción de la terraza. 30  antes del cierre ya no dejaba subir a mirar,10.0,2025-08-08,fabuloso
barceló valencia,españa,,2,pareja,excepcional,"la limpieza de las habitaciones, lo grande que era y cómoda. la ubicación y el desayuno",,10.0,2025-08-07,fabuloso
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,1,familia,excepcional,increíble. todo perfecto. en el personal había un chico llamado rodrigo que fue súper amable. el resto del personal muy bien también. las instalaciones son estupendas,la piscina es muy muy pequeña.,10.0,2025-08-05,fabuloso
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,1,familia,fantástico,las habitaciones comunicadas,no funcionaba foscurit. la piscina muy pequeña,10.0,2025-08-03,fabuloso
barceló valencia,españa,,3,familia,el desayuno: una maravilla.. cara feliz con ojos sonrientes,"la ubicación era muy buena para visitar el oceanografic  está muy cerca . la habitación muy limpia y las camas muy cómodas. el personal muy atento y amable. y el 10 de 10 fue el desayuno una maravilla! era muy, muy variado y hasta te hacían los huevos revueltos o la tortilla en el momento. cara sonriendo con corazones","el gimnasio es un poco pequeño, aunque nunca coincidí con demasiada gente. solo tiene una cinta de correr, una elíptica y una bici estática y están un poco estropeadas del tiempo. eso sí, las mancuernas, esterillas, etc..muy completas.",10.0,2025-08-02,fabuloso
barceló valencia,españa,,1,pareja,estupendo,"todo en general, el hotel moderno, el personal de recepción, la habitación, el que me complacieran en darme un piso alto y con unas vistas al oceanográfico increíbles. el aire acondicionado que tenían en estás fechas, maravilloso, que entrabas en el hotel y era como respirar. y una terraza en el último piso increíble.","quizás diría, que lo que me sorprendió, fue la piscina, era muy pequeña para el hotel tan grande, de hecho cuando la vi, pensé que era un jacuzzi.",10.0,2025-07-20,fabuloso
barceló valencia,españa,,1,familia,excelente ubicación,ubicación y servicios,desayuno mejorable,8.0,2025-07-20,fabuloso
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,1,grupo,muy buen hotel,,todavía estoy esperando recibir la factura que pedí y que prometieron enviarme,9.0,2025-07-12,fabuloso
barceló valencia,españa,,3,pareja,muy agradecido,todo el personal muy agradable y hace la estancia más amena,calidad precio y la atención al cliente,10.0,2025-07-02,fabuloso
barceló valencia,chile,,2,pareja,lindo y con excelente ubicación y conexión,"era muy bella la habitación, la ubicación muy buena, excelente conectividad con transporte público, rodeado de varios restaurantes a una cuadra de una disco de salsa hermosa para salir de fiesta",no me gustó la piscina,10.0,2025-07-01,fabuloso
barceló valencia,españa,,2,familia,muy bien pulgar hacia arriba,todo,nada,10.0,2025-07-01,fabuloso
barceló valencia,españa,,1,pareja,muy bien,todo bien,no me gusto el cobro por el parking,8.0,2025-06-23,fabuloso
barceló valencia,españa,,2,grupo,excepcional,el desayuno era impresionante. el personal muy amable y eficiente. tuvimos una avería en nuestra habitación y lo solucionaron rápido y de la mejor forma posible.,,10.0,2025-06-23,fabuloso
barceló valencia,españa,,1,familia,excepcional,todo la terraza y las vistas hermosas .,,10.0,2025-06-20,fabuloso
barceló valencia,españa,,3,pareja,muy bien,"las instalaciones están muy bien y la cafetería está abierta en el horario de desayuno, que para mí que sólo me tomo un café me parece un lujo.",nada,8.0,2025-06-18,fabuloso
barceló valencia,españa,,2,pareja,excepcional,el desayuno y la ubicación han sido lo mejor.,"tal vez mejoraría la limpieza, estaba bien, pero es mejorable.",10.0,2025-06-16,fabuloso
barceló valencia,argentina,,3,pareja,todo de excelencia,"excelente todo. la atención del personal, especialmente de patricia en recepción. limpio y perfecta ubicación.",,10.0,2025-06-12,fabuloso
barceló valencia,españa,,1,pareja,genial,la ubicación. la limpieza. la amabilidad de los empleados.,que las servilletas del restaurante fueran de papel.,10.0,2025-06-12,fabuloso
barceló valencia,españa,,2,pareja,muy bien,,el personal no es agradable con el cliente.,8.0,2025-06-10,fabuloso
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,1,grupo,cómoda y confortable,ubicación excelente desayuno no utilizamos habitación excelente,,10.0,2025-06-05,fabuloso
barceló valencia,argentina,,2,pareja,súper recomendable! volveríamos!!,nos encantó! habitación grande y moderna. desayuno de 5 estrellas o más! personal agradable. muy recomendable,nos gustó todo. a modo de empatía creemos que tendrian que darle butacas a seguridad y recepción. es una observación humana que hemos hecho.,10.0,2025-06-03,fabuloso
barceló valencia,españa,,1,grupo,fantástico,todo,el olor a tuberías y no tener agua fría ducha,9.0,2025-06-02,fabuloso
barceló valencia,españa,,2,pareja,excepcional,el hotel es excelente y las habitaciones muy cómodas. tiene una terraza con piscina donde se puede tomar el sol o tomar algo tranquilamente. el personal es muy amable y profesional.,,10.0,2025-06-01,fabuloso
barceló valencia,colombia,,2,pareja,fantástico,"excelente servicio, las instalaciones limpias, muy buena ubicación",,9.0,2025-05-25,fabuloso
barceló valencia,estados unidos,,2,pareja,muy buena,"desayuno excelente , buena ubicación",un poco de ruido de la calle en la habitación,10.0,2025-05-22,fabuloso
barceló valencia,españa,,1,familia,excepcional,"desayuno, terraza y ubicación",nada,10.0,2025-05-12,fabuloso
barceló valencia,españa,,3,persona que viaja sola,muy buena opción por comodidad y amabilidad del personal,"el hotel es muy cómodo y bien ubicado. el desayuno es muy completo, variado y de calidad. las habitaciones son amplias, cómodas e impolutas. el personal ha sido amabilísimo durante toda mi estancia. el menú para las cenas es bastante completo y a precio razonable. todo muy bien.",no tengo ninguna queja.,10.0,2025-05-08,fabuloso
barceló valencia,españa,,2,pareja,magnífica en todos los sentidos,constatar que valencia tenga alojamientos de excelencia a precio razonable,nada puedo consignar como respuesta pues todo es óptimo,10.0,2025-05-08,fabuloso
barceló valencia,perú,,5,pareja,Valencia,todo!!! el rooftop espectacular  muy buen ambiente el desayuno super variado y muy rico!!,todo ok,10.0,2025-05-06,fabuloso
barceló valencia,españa,,2,pareja,agradable,cómodo bien ubicado,el aire acondicionado el primer día no funcionaba bien,9.0,2025-05-04,fabuloso
barceló valencia,argentina,,2,persona que viaja sola,excepcional,,"buenas noches, no me gusto que no aclaren que tipo de bebida era la que estaba incluida por estar hospedado, pague un trago como si no fuera huésped, gracias",10.0,2025-05-04,fabuloso
barceló valencia,chile,2 habitaciones dobles deluxe comunicadas,2,pareja,muy bien,todo,nada,8.0,2025-05-03,fabuloso
