nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel,positivo_clean,negativo_clean
barceló valencia,españa,,1,pareja,muy bien,,,9.0,2026-04-05,fabuloso,,
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,1,familia,fantástico,"habitaciones amplias, limpieza y ubicación",,9.0,2026-04-03,fabuloso,habitación amplio limpieza ubicación,
barceló valencia,españa,,1,pareja,todo perfecto,el trato en recepción,el estacionamiento,10.0,2026-03-21,fabuloso,trato recepción,estacionamiento
barceló valencia,españa,,2,pareja,una nit del foc inolvidable.,las vistas y el tamaño de la habitación.,"la calefacción central, sólo eso.",10.0,2026-03-20,fabuloso,vista tamaño,calefacción central
barceló valencia,españa,,1,pareja,excepcional,me encantó,todo súper bien,10.0,2026-03-17,fabuloso,encantar,súper
barceló valencia,españa,,1,persona que viaja sola,extraordinario,todo,nada,10.0,2026-03-16,fabuloso,,
barceló valencia,españa,,1,pareja,espectacular,"nos encantó la habitación super espaciosa, cama grande y muy cómoda. el personal muy amable. el desayuno espectacular",,9.0,2026-03-08,fabuloso,encantar super espaciós cama cómodo personal amable desayuno espectacular,
barceló valencia,suiza,,1,pareja,magnífica,una limpieza impecable y el trato del personal de la recepción excepcional,,10.0,2026-03-02,fabuloso,limpieza impecable trato personal recepción excepcional,
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,1,grupo,fantástico,la habitación muy bonita y cómoda,,9.0,2026-03-01,fabuloso,bonito cómodo,
barceló valencia,españa,,1,persona que viaja sola,muy buen hotel.,"muy buena localización, buen lugar.",nada que destacar,10.0,2026-02-19,fabuloso,buen localización lugar,destacar
barceló valencia,argentina,,2,pareja,agradable estadía en barceló,excelente instalaciones. la vista desde nuestra habitación espectacular ya que nos permitía ver la ciudad de las artes.,"un detalle, el agua de la ducha de manera muy intermitente salía fría.",10.0,2026-02-03,fabuloso,excelente instalación vista espectacular permitir ciudad art,detalle agua ducha intermitente salir frío
barceló valencia,españa,,1,grupo,excepcional,ubicación excelente...tuvimos un pequeño problema y no lo arreglaron momento almuerzo muy bueno cara feliz con ojos sonrientes,todo muy bien señal de aprobación con la mano,10.0,2026-02-02,fabuloso,ubicación excelente ... tener pequeño problema arreglar momento almuerzo cara feliz ojo sonrient,señal aprobación mano
barceló valencia,españa,,1,pareja,excepcional,"la situación, la comodidad, y el personal.",las almohadas eran bastante blandas para mi gusto.,10.0,2026-01-12,fabuloso,situación comodidad personal,almohada bastante blando gusto
barceló valencia,países bajos,,1,persona que viaja sola,mi estancia en el hotel fue excelente. el hotel es magnífico y supera las expectativas,"la habitación del hotel fue excelente y superó nuestras expectativas. era amplia,muy limpia y cuidadosamente preparada. la cama era muy cómoda,lo que garantizó un descanso perfecto. el baño era moderno y estaba impecable, con todas las comodidades necesarias. la habitación estaba bien insonorizada,por lo que era muy tranquila, y el aire acondicionado funcionaba perfectamente. además,todo el equipamiento estaba en muy buen estado. sin duda,una estancia muy agradable y totalmente recomendable.",no hubo ningún aspecto negativo;todo fue excelente,10.0,2026-01-09,fabuloso,excelente superar expectativa amplio limpio cuidadosamente preparado cama cómodo garantizar descanso perfecto baño moderno impecable comodidad necesario insonorizado tranquilo aire acondicionado funcionar perfectamente equipamiento duda agradable totalmente recomendable,aspecto negativo;todo excelente
barceló valencia,españa,,1,persona que viaja sola,excepcional,ser el cliente vip. ese dia,,10.0,2025-12-30,fabuloso,cliente vip,
barceló valencia,españa,,1,pareja,excepcional,de lujo todo me encanta...,,10.0,2025-12-25,fabuloso,lujo encantar ...,
barceló valencia,españa,,2,pareja,perfecta!,"la habitación muy amplia y la cama grande, ideal para personas altas. ubicación genial al lado de la ciudad de las ciencias. hay parquing de pago  unos 18 euros al dia  pero se puede aparcar bien por la zona. desayuno muy bueno y completo! hay zona de restauración alrededor del hotel."," el ascensor!  hay tres, pero hay cola para cogerlo!  hemos estado casi más de 5 minutos para poder subir o bajar! la opción de ir a pie en función del piso que te toque...",10.0,2025-12-03,fabuloso,amplio cama ideal persona alto ubicación genial ciudad ciencia parquing pago euros aparcar zona desayuno completo zona restauración,ascensor cola coger él más minuto subir bajar opción pie función piso tocar ...
barceló valencia,españa,,1,pareja,excepcional,"amabilidad y flexibilidad del personal, la comodidad de la cama y la amplitud de la habitación",nada,10.0,2025-12-03,fabuloso,amabilidad flexibilidad personal comodidad cama amplitud,
barceló valencia,españa,,1,pareja,excepcional,"el diseño, la decoración, limpieza y las increíbles vistas. sin dejar atras el personal que un 10, educados, te explican todo genial y resuelven tus dudas excelentemente.",,10.0,2025-12-02,fabuloso,diseño decoración limpieza increíbl visto dejar personal educado explicar genial resolver duda excelentemente,
