web_scraper_order,web_scraper_start_url,nombre_del_hotel,nombre_usuario,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,nota_personal,nota_confort,nota_wifi,nota_instalaciones_servicios,nota_calidad_precio,nota_limpieza,nota_ubicacion,nota_media_resenas,comentario_media_hotel
1776375264-1,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Beatriz,España,Habitación Meliá con 1 cama extragrande,1 noche ·,En pareja,Excelente,"Todo la habitación súper amplia, la cama extra grande y colchón y almohadas muy cómodas. 
El desayuno buffet excelente! 
Todo muy bien 😊",,10,Fecha del comentario: 15 de abril de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-2,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Arturo,España,Habitación Supreme,1 noche ·,Persona que viaja sola,Mi referente para alojarme en Valencia,"Ya lo conocía de anteriores estancias. Me encantan las plantas en altura, la tranquilidad, la comodidad de las camas, el desayuno y que tienen párking con puntos de recarga de vehículos eléctricos.",,"9,0",Fecha del comentario: 11 de abril de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-3,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Roberto,Chile,Habitación Meliá con 1 cama extragrande,3 noches ·,En pareja,Hotel funcional en lugar alejado,El lobby y cafeteria,Ascensores lentos,"8,0",Fecha del comentario: 10 de abril de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-4,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Adrian,España,Alojamiento The Level Supreme,3 noches ·,En familia,Solo perfecto!,"Habitacion a la planta 24 (high level) - a este nivel hay atencion personalizada, tanto en recepcion (recepcion aparte) como en la zona restaurante (desayuno/comidas).
Subimos con un ascensor con vista al exterior - nuestra hija(4 años) se quedo impresionada ya que vivimos en una casa y el ascensor no es habitual para nosotros-",,10,Fecha del comentario: 7 de abril de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-5,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Paredes,Perú,Habitación Meliá,2 noches ·,En familia,Fantástico,"Habitación cómoda, la ubicación muy buena y el desayuno: Exelente!",,"9,0",Fecha del comentario: 1 de abril de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-6,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Jorge,España,Habitación Meliá con 1 cama extragrande,3 noches ·,En pareja,Volvería,Todo nuevo y materiales de calidad,Precio del desayuno,"9,0",Fecha del comentario: 24 de marzo de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-7,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,María,España,Habitación Meliá,1 noche ·,En familia,Muy bien,"Las vistas, estabais en un 9",La distancia del centro,"8,0",Fecha del comentario: 23 de marzo de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-8,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Gabriel,España,Habitación Meliá con 1 cama extragrande,2 noches ·,En pareja,Bastante aceptable,Cama amplia y muy cómoda,"Está bastante alejado, pero ya se sabía.","9,0",Fecha del comentario: 19 de marzo de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-9,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Torrijos,España,Habitación Meliá,1 noche ·,Persona que viaja sola,Excepcional,Era preciosa la habitacion y el hotel,,10,Fecha del comentario: 16 de marzo de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-10,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Dalma,Suiza,Habitación Meliá,3 noches ·,Persona que viaja sola,Super,Todo,Nada,"9,0",Fecha del comentario: 5 de marzo de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
