web_scraper_order,web_scraper_start_url,nombre_del_hotel,nombre_usuario,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,nota_personal,nota_confort,nota_wifi,nota_instalaciones_servicios,nota_calidad_precio,nota_limpieza,nota_ubicacion,nota_media_resenas,comentario_media_hotel
"1776260909-1","https://www.booking.com/hotel/es/venecia.es.html?aid=311090&label=hotel-92883-es-%2A4vs33ODk_lp5NoFsuYp7QS161716332610%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-2397602597457%3Akwd-2676624277%3Alp9197712%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=d6482888295e2136ec8e3e06b43978ee&age=0&all_sr_blocks=9288332_88193104_2_2_0&checkin=2026-04-24&checkout=2026-04-25&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9288332_88193104_2_2_0&hpos=1&matching_block_id=9288332_88193104_2_2_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9288332_88193104_2_2_0__19580&srepoch=1776250585&srpvid=fd804ce223920107&type=total&ucfs=1&","Venecia Plaza Centro","Juana","España","","1 noche ·","En pareja","Un finde perfecto","El desayuno super completo y la ubicacion inmejorable un 💯","Lo unico que no me gusto es que solo me quede una noche por mi hubiera estado toda la semana.
Todo me gusto","10","Fecha del comentario: 13 de abril de 2026","9,5","9,4","8,9","9,1","9,0","9,4","9,9","9,2","Fantástico"
"1776260909-2","https://www.booking.com/hotel/es/venecia.es.html?aid=311090&label=hotel-92883-es-%2A4vs33ODk_lp5NoFsuYp7QS161716332610%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-2397602597457%3Akwd-2676624277%3Alp9197712%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=d6482888295e2136ec8e3e06b43978ee&age=0&all_sr_blocks=9288332_88193104_2_2_0&checkin=2026-04-24&checkout=2026-04-25&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9288332_88193104_2_2_0&hpos=1&matching_block_id=9288332_88193104_2_2_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9288332_88193104_2_2_0__19580&srepoch=1776250585&srpvid=fd804ce223920107&type=total&ucfs=1&","Venecia Plaza Centro","Pascual","España","Habitación Doble Estándar con vistas a la plaza del ayuntamiento","1 noche ·","En pareja","Muy bien","Todo en general, muy bien","","10","Fecha del comentario: 9 de abril de 2026","9,5","9,4","8,9","9,1","9,0","9,4","9,9","9,2","Fantástico"
"1776260909-3","https://www.booking.com/hotel/es/venecia.es.html?aid=311090&label=hotel-92883-es-%2A4vs33ODk_lp5NoFsuYp7QS161716332610%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-2397602597457%3Akwd-2676624277%3Alp9197712%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=d6482888295e2136ec8e3e06b43978ee&age=0&all_sr_blocks=9288332_88193104_2_2_0&checkin=2026-04-24&checkout=2026-04-25&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9288332_88193104_2_2_0&hpos=1&matching_block_id=9288332_88193104_2_2_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9288332_88193104_2_2_0__19580&srepoch=1776250585&srpvid=fd804ce223920107&type=total&ucfs=1&","Venecia Plaza Centro","Marcela","Argentina","Habitación Estándar","2 noches ·","En familia","Excepcional","La habitación y el baño","","10","Fecha del comentario: 8 de abril de 2026","9,5","9,4","8,9","9,1","9,0","9,4","9,9","9,2","Fantástico"
"1776260909-4","https://www.booking.com/hotel/es/venecia.es.html?aid=311090&label=hotel-92883-es-%2A4vs33ODk_lp5NoFsuYp7QS161716332610%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-2397602597457%3Akwd-2676624277%3Alp9197712%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=d6482888295e2136ec8e3e06b43978ee&age=0&all_sr_blocks=9288332_88193104_2_2_0&checkin=2026-04-24&checkout=2026-04-25&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9288332_88193104_2_2_0&hpos=1&matching_block_id=9288332_88193104_2_2_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9288332_88193104_2_2_0__19580&srepoch=1776250585&srpvid=fd804ce223920107&type=total&ucfs=1&","Venecia Plaza Centro","Fores","España","Habitación Estándar","2 noches ·","En familia","Excepcional","Ubicación muy buena, habitación excelente","Los de recepción muy serios","10","Fecha del comentario: 6 de abril de 2026","9,5","9,4","8,9","9,1","9,0","9,4","9,9","9,2","Fantástico"
"1776260909-5","https://www.booking.com/hotel/es/venecia.es.html?aid=311090&label=hotel-92883-es-%2A4vs33ODk_lp5NoFsuYp7QS161716332610%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-2397602597457%3Akwd-2676624277%3Alp9197712%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=d6482888295e2136ec8e3e06b43978ee&age=0&all_sr_blocks=9288332_88193104_2_2_0&checkin=2026-04-24&checkout=2026-04-25&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9288332_88193104_2_2_0&hpos=1&matching_block_id=9288332_88193104_2_2_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9288332_88193104_2_2_0__19580&srepoch=1776250585&srpvid=fd804ce223920107&type=total&ucfs=1&","Venecia Plaza Centro","Serrano","España","Habitación Cuádruple Estándar","1 noche ·","En familia","Increíble","Está en una buena ubicación y hotel muy limpio y las cama muy cómodas.
La gente que trabaja allí son muy agradables","","10","Fecha del comentario: 4 de abril de 2026","9,5","9,4","8,9","9,1","9,0","9,4","9,9","9,2","Fantástico"
"1776260909-6","https://www.booking.com/hotel/es/venecia.es.html?aid=311090&label=hotel-92883-es-%2A4vs33ODk_lp5NoFsuYp7QS161716332610%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-2397602597457%3Akwd-2676624277%3Alp9197712%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=d6482888295e2136ec8e3e06b43978ee&age=0&all_sr_blocks=9288332_88193104_2_2_0&checkin=2026-04-24&checkout=2026-04-25&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9288332_88193104_2_2_0&hpos=1&matching_block_id=9288332_88193104_2_2_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9288332_88193104_2_2_0__19580&srepoch=1776250585&srpvid=fd804ce223920107&type=total&ucfs=1&","Venecia Plaza Centro","Egle","España","","2 noches ·","En grupo","Excepcional","Cómodas las camas, limpio y cerca de todo","","10","Fecha del comentario: 3 de abril de 2026","9,5","9,4","8,9","9,1","9,0","9,4","9,9","9,2","Fantástico"
"1776260909-7","https://www.booking.com/hotel/es/venecia.es.html?aid=311090&label=hotel-92883-es-%2A4vs33ODk_lp5NoFsuYp7QS161716332610%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-2397602597457%3Akwd-2676624277%3Alp9197712%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=d6482888295e2136ec8e3e06b43978ee&age=0&all_sr_blocks=9288332_88193104_2_2_0&checkin=2026-04-24&checkout=2026-04-25&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9288332_88193104_2_2_0&hpos=1&matching_block_id=9288332_88193104_2_2_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9288332_88193104_2_2_0__19580&srepoch=1776250585&srpvid=fd804ce223920107&type=total&ucfs=1&","Venecia Plaza Centro","David","México","Habitación Triple Económica con vistas al patio interior","1 noche ·","En familia","Magnífico hotel.","Magnífico.  Todo perfecto.","","10","Fecha del comentario: 2 de abril de 2026","9,5","9,4","8,9","9,1","9,0","9,4","9,9","9,2","Fantástico"
"1776260909-8","https://www.booking.com/hotel/es/venecia.es.html?aid=311090&label=hotel-92883-es-%2A4vs33ODk_lp5NoFsuYp7QS161716332610%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-2397602597457%3Akwd-2676624277%3Alp9197712%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=d6482888295e2136ec8e3e06b43978ee&age=0&all_sr_blocks=9288332_88193104_2_2_0&checkin=2026-04-24&checkout=2026-04-25&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9288332_88193104_2_2_0&hpos=1&matching_block_id=9288332_88193104_2_2_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9288332_88193104_2_2_0__19580&srepoch=1776250585&srpvid=fd804ce223920107&type=total&ucfs=1&","Venecia Plaza Centro","Margarita","España","Habitación Doble Estándar con vistas a la plaza del ayuntamiento","2 noches ·","En familia","Hotel muy céntrico y tranquilo","La ubicación, la insonorización, la limpieza y la simpatía de las personas que nos atendieron en el hotel","Creo que una botella de agua en la habitación sería un detalle muy de agradecer","9,0","Fecha del comentario: 27 de marzo de 2026","9,5","9,4","8,9","9,1","9,0","9,4","9,9","9,2","Fantástico"
"1776260909-9","https://www.booking.com/hotel/es/venecia.es.html?aid=311090&label=hotel-92883-es-%2A4vs33ODk_lp5NoFsuYp7QS161716332610%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-2397602597457%3Akwd-2676624277%3Alp9197712%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=d6482888295e2136ec8e3e06b43978ee&age=0&all_sr_blocks=9288332_88193104_2_2_0&checkin=2026-04-24&checkout=2026-04-25&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9288332_88193104_2_2_0&hpos=1&matching_block_id=9288332_88193104_2_2_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9288332_88193104_2_2_0__19580&srepoch=1776250585&srpvid=fd804ce223920107&type=total&ucfs=1&","Venecia Plaza Centro","Bayod","España","","2 noches ·","En pareja","Hotel muy recomendable","La ubicación es perfecta. Los empleados sumamente amables y eficientes.","nada","10","Fecha del comentario: 27 de marzo de 2026","9,5","9,4","8,9","9,1","9,0","9,4","9,9","9,2","Fantástico"
"1776260909-10","https://www.booking.com/hotel/es/venecia.es.html?aid=311090&label=hotel-92883-es-%2A4vs33ODk_lp5NoFsuYp7QS161716332610%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-2397602597457%3Akwd-2676624277%3Alp9197712%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=d6482888295e2136ec8e3e06b43978ee&age=0&all_sr_blocks=9288332_88193104_2_2_0&checkin=2026-04-24&checkout=2026-04-25&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9288332_88193104_2_2_0&hpos=1&matching_block_id=9288332_88193104_2_2_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9288332_88193104_2_2_0__19580&srepoch=1776250585&srpvid=fd804ce223920107&type=total&ucfs=1&","Venecia Plaza Centro","Felipe","España","","4 noches ·","En pareja","Ubicación inmejorable","Ubicación inmejorable","","9,0","Fecha del comentario: 22 de marzo de 2026","9,5","9,4","8,9","9,1","9,0","9,4","9,9","9,2","Fantástico"
