nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
ilunion aqua 3,españa,,2,persona que viaja sola,fantástico,todo perfecto.,,9.0,2026-04-15,bien
ilunion aqua 3,españa,,1,grupo,fantástico,mui bien ubicado,,9.0,2026-04-12,bien
ilunion aqua 3,españa,,2,persona que viaja sola,bien,"elegimos este hotel por su ubicación para ir al oceanografic, necesita una reforma pero es cómodo y se está a gusto.hay un montón de sitios al lado para comer.",hay mobiliario que necesita ser renovado.,7.0,2026-04-12,bien
ilunion aqua 3,españa,,2,pareja,muy recomendable!!,"la cama es muy cómoda!. la habitación no era muy grande pero estaba muy limpia. muy buen desayuno muy completo y bueno. el personal muy agradable. la ubicación es ideal, justo en el centro comercial  he de decir que no se escucha un ruido de eso  y a un par de pasos de la ciudad de las artes y ciencias","las almohadas son un poco pobres, y en nuestra planta había un olor sospechosamente a alguna sustancia digamos especial,  no culpa del hotel pero olía muchísimo . echamos de menos algún mini bar. el parking que sea privado y haya que pagar es algo un poco a echar en falta en este tipo de servicios, aunque te dan descuento pero  aun así pagas.",9.0,2026-04-09,bien
ilunion aqua 3,españa,,3,pareja,cómodo y practico,limpio y cómodo.,no hay nada que no me gustara,9.0,2026-04-06,bien
ilunion aqua 3,españa,,3,grupo,muy bien,la ubicación y el parking,el colchón incómodo. la almohada igual. las lonas por detrás de las cortinas están rotas y  se cuela  mucha claridad,8.0,2026-04-06,bien
ilunion aqua 3,españa,,1,familia,muy bien,todo genial,,8.0,2026-04-05,bien
ilunion aqua 3,españa,,1,pareja,ideal para conciertos,muy cómodo y con aparcamiento,,9.0,2026-04-05,bien
ilunion aqua 3,españa,,2,grupo,muy bien,la ubicación,"la atencion de una de las recepcionistas, fue muy desgradable y mal educada, ni siquiera fue capaz de decirme que ya habia acabado el proceso del check in, directamente se puso a hablar por telefono y tuve que intuir que ya habiamos terminado...ni las gracias me dio las instalaciones estan bastante deterioradas, y la luz del baño se quedbaa detras de la puerta del baño y no la podias encender...",8.0,2026-03-30,bien
ilunion aqua 3,españa,,4,persona que viaja sola,muy bien,la tranquilidad de noche. pese a estar en fallas debido a su ubicación se dormía bien.,por el mismo motivo la ubicación  queda algo alejado del cwntro. ah y no había minibar.,8.0,2026-03-19,bien
ilunion aqua 3,españa,,2,pareja,muy bien,el trato del personal. hubo un problemilla en el check in y lo solucionaron inmediatamente,teníamos una habitación doble y había montado un plegatín que dejaba muy poco espacio libre,8.0,2026-03-18,bien
ilunion aqua 3,españa,,2,pareja,cumplió expectativas,el tamaño de la habitación,debería está incluido el desayuno,9.0,2026-03-17,bien
ilunion aqua 3,españa,,1,pareja,bien,el personal de la entrada,los cristales de la habitación 323 súper sucios y la cama incómoda a gusto personal,7.0,2026-03-15,bien
ilunion aqua 3,españa,,2,pareja,fantástico,"situado encima de un centro comercial, y justo enfrente de la ciudad de las artes y las ciencias. hotel cómodo y personal muy agradable",que no llegue el metro cerca del hotel.,9.0,2026-03-12,bien
ilunion aqua 3,españa,,4,pareja,bien pero mucho frío,"el hotel estaba bien calidad precio, me gustó que tuviera bañera y cama de matrimonio.",eche en falta una pequeña nevera. en la habitación había un ruido toda la noche que no sé si era del aire o que. no puedo casi opinar del personal porque apenas cruzamos palabra pero eche en falta a mi llegada que me dieran un mapa y me medio informaran como si hicieron en el ilunion de bilbao.,9.0,2026-03-07,bien
ilunion aqua 3,españa,,1,persona que viaja sola,bien,ubicacion,la habitacion muy baja la relacion calidad precio,7.0,2026-03-06,bien
