nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
only you hotel valencia,españa,,1,grupo,fantástico,"desayuno, lo mejor de todo",en general me pareció todo bien,9.0,2026-04-06,fantástico
only you hotel valencia,españa,,1,pareja,excepcional,todo perfecto,,10.0,2026-03-24,fantástico
only you hotel valencia,españa,,1,pareja,maravilloso,este lugar es perfecto y el desayuno es top,,10.0,2026-03-23,fantástico
only you hotel valencia,españa,,1,familia,excepcional,la ubicación es inmejorable y el desayuno.,,10.0,2026-03-16,fantástico
only you hotel valencia,españa,,2,pareja,manos formando un corazón,"pille el hotel casi sin mirar, y me sorprendió a bien! personal super amable, todo muy cómodo, bonito y limpio. pero lo que más me tocó el corazón fue la chica de servicio de habitaciones de la sexta planta, tatiana. fuera de qué la habitación estaba pulidisima y hecha con un gusto y cariño que se notaba mucho, resultó que ella es de la ciudad de donde vengo yo de rusia y cuando se enteraron nos trajeron una nota hecha por ella en ruso con una foto de mi ciudad  una botella de cava. la verdad que me tocó mucho el alma y esto hará que si vuelvo por valencia seguramente decidiré ir al mismo hotel. muchas gracias manos formando un corazón",,10.0,2026-03-15,fantástico
only you hotel valencia,españa,,1,grupo,fantástica,todo el hotel es una maravilla,nada,10.0,2026-03-14,fantástico
only you hotel valencia,españa,,1,persona que viaja sola,excepcional,un ambiente muy acogedor y un personal muy implicado,todo me pareció correcto,10.0,2026-03-04,fantástico
only you hotel valencia,españa,,1,pareja,su ubicacionj.,"el desayuno perfecto, la ubicacion muy buena.",que el parking no esta en el hotel.,10.0,2026-03-01,fantástico
only you hotel valencia,españa,,1,familia,excepcional,"muy buena atención por parte de todo el personal. habitación moderna, cómoda y silenciosa. desayuno variado y abundante",había posibilidad de pedir cafés de especialidad. la toma de comandas es un poco caótica y tuvimos que volver a pedirlo...,10.0,2026-02-25,fantástico
only you hotel valencia,españa,,1,familia,buen hotel en un sitio excelente,el desayuno y la comodidad de la cama,es lamentable que un hotel así no tenga parking propio o quien se encargue de llevarte y traerte el coche,8.0,2026-02-20,fantástico
only you hotel valencia,españa,,1,pareja,es mi casa,"es excepcional, absolutamente todo",  ,10.0,2026-02-19,fantástico
