nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
silken puerta valencia,españa,,2,grupo,buen fin de semana,camas fenomenales,,8.0,2026-04-12,fabuloso
silken puerta valencia,españa,,1,pareja,amabilidad y confort,amabilidad y colaboración en todo momento.,nada que señalar,10.0,2026-03-29,fabuloso
silken puerta valencia,españa,,2,pareja,el mejor 4 estrellas de la zona en calidad-precio.,"es la quinta vez que me alojo esta temporada y sigo con la misma impresión, es el mejor hotel de 4 estrellas de la zona, por ubicación y por calidad-precio. las habitaciones interiores son las más silenciosas. mejor que las junior-suite. la ducha es espectacular. es de agradecer que te limpien el parabrisas del coche.","los horarios. esta vez no hemos contratado el desayuno  que nos gustaba mucho  por el horario que tiene, muy escaso para españoles.",8.0,2026-03-22,fabuloso
silken puerta valencia,españa,,3,pareja,todo perfecto,la habitacion estaba muy bien y el restaurante es buenisimo,,10.0,2026-03-21,fabuloso
silken puerta valencia,españa,,2,pareja,excepcional,ubicación y personal,todo correcto,10.0,2026-03-18,fabuloso
silken puerta valencia,españa,,1,persona que viaja sola,"rápida como agradable y sencilla. pero voy a dejar una nota porque no sé cómo funciona el tema de reserva, vi que había",ubicación y limpieza,,10.0,2026-03-08,fabuloso
silken puerta valencia,españa,habitación doble con terraza,2,pareja,muy buena relación calidad precio,"la habitación ejecutiva con terraza muy bonita, la cama es cómoda, mucha luz y espacio. nos ha encantado todo. el parking se aprecia también y que te limpien el cristal durante la noche es un punto agradable. la ubicación no está mal pero ha que andar mucho para ir hasta el centro o bien hasta la playa. buenos restaurantes alrededor sin embargo.","el comedor muy pequeño y ruidoso para el desayuno, estaba full tanto en semana como en fin de semana. el buffet estaba bien y el personal muy atento, pero agobia un poco estar codo a codo para desayunar.",8.0,2026-02-26,fabuloso
silken puerta valencia,españa,,4,pareja,cumplió todas las expectativas de nuestro viaje.,"ubicación, un poco lejos del centro. habitación perfect.",,9.0,2026-02-24,fabuloso
silken puerta valencia,españa,,1,pareja,fantástico,desayuno y buena ubicación,,9.0,2026-02-18,fabuloso
silken puerta valencia,españa,,1,familia,"habitaciones nuevas, cómodas y muy limpias.",la limpieza. estaba todo impecable y la comodidad de los colchones era muy buena. el baño es muy bonito.,,10.0,2026-02-15,fabuloso
silken puerta valencia,españa,,1,pareja,excelente,habitaciones amplias. buen parking. camas cómidas y muy buen desayuno,la ubicación no es la mejor. está a mas de media hora caminando del centro.,9.0,2026-02-14,fabuloso
silken puerta valencia,españa,,1,pareja,fantástico,situación y comodidad y servicio de,todo en general,9.0,2026-02-09,fabuloso
silken puerta valencia,españa,,1,pareja,muy buena opción en valencia,"muy buena opción en valencia para ir al centro,para ir a la ciudad de las artes y las ciencias.unos 25 minutos andando. buenas instalaciones con habitaciones enormes y con detalles de todo tipo. parking a buen precio y limpieza de parabrisas como detalle extra. desayuno muy variado.y unos zumos increíbles.",todo perfecto,10.0,2026-02-04,fabuloso
silken puerta valencia,españa,,1,pareja,excepcional,nos cambiaron la habitación por problemas con la calefacción el bar perfecto para almorzar,,10.0,2026-02-02,fabuloso
silken puerta valencia,españa,,2,pareja,relacion calidad precio estupenda,"estancia perfecta, desayuno bien y todo un detalle que todas las noches limpien los cristales delanteros de todos los coches del garaje.",,10.0,2026-02-01,fabuloso
silken puerta valencia,españa,,2,pareja,habitaciones amplias,amplitud de las habitaciones,en el espejo del baño hay una luz que no se puede apagar y al ser la puerta de cristal pasa la luz mucha claridad para domir,10.0,2026-02-01,fabuloso
silken puerta valencia,españa,,3,pareja,excepcional,lo que he valorado,"el servicio de cafetería. si no contratas el desayuno, no te sirven café con una tostada en el bar hasta que no cierran el buffet. aunque el bar está abierto y no hay un cartel que indique esta  peculiaridad .",10.0,2026-02-01,fabuloso
silken puerta valencia,españa,,2,pareja,buena experiencia,"habitación suit junior muy espaciosa. cama muy comoda. baño normal, correcto. personal muy simpático. desayuno bien, suficiente sin ser el mejor en el que hemos estado: fruta, pan, embutidos, salado, dulces, cafés, zumos...","baño ok pero papel de wc de poca calidad. agua caliente irregular. echamos a faltar enchufes usb para el móvil en la habitación. son detalles porque el hotel es estupendo, hemos puesto un 10 en general.",10.0,2026-01-31,fabuloso
silken puerta valencia,españa,,1,pareja,excepcional,el trato del personal de recepción,me gustó todo desde el personal de la recepción hasta las personas de limpieza y que también cuando llegamos al coche que dejamos en el parking nos habían limpiado gratuitamente el limpiaparabrisas,10.0,2026-01-31,fabuloso
silken puerta valencia,españa,,1,persona que viaja sola,excepcional,excelente hotel y habitación de lujo con una gran terraza,,10.0,2026-01-25,fabuloso
silken puerta valencia,españa,,1,pareja,excelente,la habitación muy amplia y la amabilidad del personal,todo genial,10.0,2026-01-24,fabuloso
silken puerta valencia,españa,,1,familia,fantástico,-,-,9.0,2026-01-18,fabuloso
silken puerta valencia,españa,,1,pareja,céntrico y cómodo,"todo , personal muy amable y comodidad",,8.0,2026-01-14,fabuloso
silken puerta valencia,españa,,1,pareja,"buen hotel, cómodo y limpio. y a buen precio!","buen hotel, con un precio muy ajustado. instalaciones bastante nuevas y habitaciones amplias. el servicio de desayuno bastante completo y de buena calidad. seguramente repetiríamos con las mismas condiciones.",tienen un problema de olores en el hall y pasillos  aunque no en las habitaciones . no sabemos si ha sido la noche que llegamos o es repetitivo pero olía mucho a tuberías.,9.0,2026-01-10,fabuloso
silken puerta valencia,españa,,4,pareja,muy recomendable,"todo en general, super limpio y cómodo, las recepcionistas super amables, el parquing muy bien con sorpresa incluida de la limpieza del limpiaparabrisas como detalle. me ha encantado, nos hemos sentido super a gusto",me gustó todo,10.0,2026-01-05,fabuloso
silken puerta valencia,españa,,1,familia,muy recomendable,todo muy bueno tanto el desayuno bastante completo como la limpieza y el confort de las camas,no me gusto que nunca pudimos conectarnos al wifi,9.0,2025-12-30,fabuloso
silken puerta valencia,colombia,,1,familia,comodidad y ubicación,muy cómodo y muy bien ubicado. el personal fue muy atento con nosotros.,,10.0,2025-12-27,fabuloso
silken puerta valencia,suiza,,2,pareja,estancia perfecta,"muy buen hotel, habitación superior excelente muy nueva y limpia con todo lo que se necesita. cama muy cómoda, baño y ducha excelente. desayuno muy buen! ubicación buena cerca del puerto, del turia y del centro. aparcamiento disponible en el mismo edificio a precio razonable.","las ventanas no son insonoras, es decir se escucha mucho el tráfico, aunque de noche a penas hay tráfico, se duerme bien.",9.0,2025-12-21,fabuloso
