nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
the river hostel,españa,litera en habitación compartida mixta de 12 camas,6,persona que viaja sola,only english,la ubicación está bien,"no me gustó que el personal de la barra del bar hablaban en inglés, cuándo estamos en valéncia.",8.0,2026-04-16,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,1,persona que viaja sola,"recomendado, vale la pena en relación calidad precio",la atención del personal buena ubicación,,9.0,2026-04-10,muy bien
the river hostel,españa,cama en habitación compartida mixta de 4 camas,1,persona que viaja sola,bien,"la habitación de 4 y la ubicación. el personal muy amable también, como siempre.","mucho ruido en los pasillos  y más tarde de las 22h, que en teoría está prohibido . debería estar más controlado.",7.0,2026-04-06,muy bien
the river hostel,españa,cama en habitación compartida mixta de 4 camas,1,persona que viaja sola,muy bien,,mucho ruido en los pasillos,8.0,2026-04-03,muy bien
the river hostel,españa,cama en habitación compartida mixta de 4 camas,1,persona que viaja sola,buen lugar,el personal y la limpieza. la atención y cuidado a cada consulta y la seguridad.,"creo fué un poco ruidoso hasta después de media noche tanto en la calle como en el propio hostel,al menos al lado de nuestra habitación.",8.0,2026-04-01,muy bien
the river hostel,españa,litera en una habitación compartida femenina,3,persona que viaja sola,fantástico,lo central del lugar,nada,9.0,2026-03-31,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,2,persona que viaja sola,"buen lugar, pero instalaciones obsoletas",la ubicación,instalaciones viejas,9.0,2026-03-20,muy bien
the river hostel,españa,cama en habitación compartida mixta de 4 camas,1,persona que viaja sola,breve pero bueno,me gustó mucho la limpieza que tuvieron en la habitación y los baños. también fueron muy cordiales conmigo lo cual me encantó y aparte me ayudaron a encontrar aparcamiento.,"no me gustó que hubieran muchos grupos de jovenes, que para el wifi tenias que bajar a recepción a pedirlo y que tuviera que guardar el ticket del depósito para que me lo devolvieran.",7.0,2026-03-17,muy bien
the river hostel,españa,cama en habitación compartida mixta de 4 camas,1,pareja,visita a valencia,"el hostal super bien todo, muy recomendado, las camas cómodas, todo muy limpio y orden, instrucciones claras, la ubicación genial, muy cerca del centro, en todo en frente del turia, bien conectado con la estación del nord, y el centro histórico y transporte en general para moverse por la cuidad, todo un acierto que recomiendo y sin duda repetiria",,9.0,2026-03-16,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,3,persona que viaja sola,cómodo para un viaje rápido,la ubicación y el personal,,8.0,2026-03-02,muy bien
the river hostel,españa,cama en habitación compartida mixta de 4 camas,1,persona que viaja sola,muy bien,todo,nada,8.0,2026-02-17,muy bien
the river hostel,españa,cama en habitación compartida mixta de 6 camas,2,persona que viaja sola,muy bien,la tranquilidad,no hay cocina,8.0,2026-02-08,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,2,persona que viaja sola,bien,hostel bien,bien,7.0,2026-02-01,muy bien
the river hostel,españa,cama en habitación compartida mixta de 8 camas,1,persona que viaja sola,muy bien,las habitaciones cómodas y limpias,"los vasos de papel y platos ,mejor bandejitas y vasos que se laven",8.0,2026-01-31,muy bien
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,1,persona que viaja sola,por lo general bien,me atendieron bien a pesar de la hora que llegué,ruido en la habitación,9.0,2026-01-26,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,4,persona que viaja sola,fantástico,"el personal y mucho más el personal de la noche, muy amable bíceps flexionado tono de piel claro medio",no tienen juegos para pasar el tiempo jaja,9.0,2026-01-25,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,1,persona que viaja sola,en general bien,la zona,algo sucio mucha gente,7.0,2026-01-24,muy bien
the river hostel,españa,cama en habitación compartida mixta de 4 camas,1,pareja,superó mis expectativas,"todo limpio, excelente espacio en las literas, no había ruido y las duchas con jabón secador y planchita!",,9.0,2026-01-23,muy bien
