nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
venecia plaza centro,españa,,1,pareja,un finde perfecto,el desayuno super completo y la ubicacion inmejorable un cien puntos,lo unico que no me gusto es que solo me quede una noche por mi hubiera estado toda la semana. todo me gusto,10.0,2026-04-13,fantástico
venecia plaza centro,españa,habitación doble estándar con vistas a la plaza del ayuntamiento,1,pareja,muy bien,"todo en general, muy bien",,10.0,2026-04-09,fantástico
venecia plaza centro,españa,habitación estándar,2,familia,excepcional,"ubicación muy buena, habitación excelente",los de recepción muy serios,10.0,2026-04-06,fantástico
venecia plaza centro,españa,habitación cuádruple estándar,1,familia,increíble,está en una buena ubicación y hotel muy limpio y las cama muy cómodas. la gente que trabaja allí son muy agradables,,10.0,2026-04-04,fantástico
venecia plaza centro,españa,,2,grupo,excepcional,"cómodas las camas, limpio y cerca de todo",,10.0,2026-04-03,fantástico
venecia plaza centro,españa,habitación doble estándar con vistas a la plaza del ayuntamiento,2,familia,hotel muy céntrico y tranquilo,"la ubicación, la insonorización, la limpieza y la simpatía de las personas que nos atendieron en el hotel",creo que una botella de agua en la habitación sería un detalle muy de agradecer,9.0,2026-03-27,fantástico
venecia plaza centro,españa,,2,pareja,hotel muy recomendable,la ubicación es perfecta. los empleados sumamente amables y eficientes.,nada,10.0,2026-03-27,fantástico
venecia plaza centro,españa,,4,pareja,ubicación inmejorable,ubicación inmejorable,,9.0,2026-03-22,fantástico
venecia plaza centro,españa,,1,pareja,espectacular,todo,nada,10.0,2026-03-20,fantástico
venecia plaza centro,españa,,1,persona que viaja sola,"excelente, ubicación, el personal, etc.",la ubicación,"el precio, pero como eran fallas, no había otra",10.0,2026-03-20,fantástico
venecia plaza centro,españa,,2,pareja,muy bien,el trato de personal hacia el cliente excelente. la limpieza en todo el hotel superior y su situación sino la mejor de las mejores.,que no tuvieran servicio de restaurante para comidas y o cenas sólo tenían servicio de desayuno,8.0,2026-03-16,fantástico
venecia plaza centro,españa,habitación estándar,2,pareja,muy buena,el personal muy amable,nada,10.0,2026-03-15,fantástico
